Time(us)	TipPos(nm)	CosRef(nm)	Force(nN)	SamplePos(nm)
833.5898333996	12.2682819387	8.2629818510	0.0000000000	-0.2584525954
833.5916667329	12.2924724684	8.2872058531	0.0000000000	-0.2563069634
833.5935000663	12.3162680746	8.3110339863	0.0000000000	-0.2541791442
833.5953333996	12.3396677009	8.3344651121	0.0000000000	-0.2520689898
833.5971667329	12.3626703145	8.3574981115	0.0000000000	-0.2499763536
833.5990000663	12.3852749047	8.3801318841	0.0000000000	-0.2479010900
833.6008333996	12.4074804828	8.4023653487	0.0000000000	-0.2458430550
833.6026667329	12.4292860808	8.4241974433	0.0000000000	-0.2438021055
833.6045000663	12.4506907504	8.4456271250	0.0000000000	-0.2417780996
833.6063333996	12.4716935618	8.4666533701	0.0000000000	-0.2397708967
833.6081667329	12.4922936032	8.4872751742	0.0000000000	-0.2377803572
833.6100000663	12.5124899789	8.5074915522	0.0000000000	-0.2358063429
833.6118333996	12.5322818092	8.5273015385	0.0000000000	-0.2338487165
833.6136667329	12.5516682283	8.5467041867	0.0000000000	-0.2319073420
833.6155000663	12.5706483843	8.5656985700	0.0000000000	-0.2299820846
833.6173333996	12.5892214375	8.5842837810	0.0000000000	-0.2280728102
833.6191667329	12.6073865601	8.6024589320	0.0000000000	-0.2261793864
833.6210000663	12.6251429350	8.6202231548	0.0000000000	-0.2243016815
833.6228333996	12.6424897553	8.6375756008	0.0000000000	-0.2224395650
833.6246667329	12.6594262237	8.6545154410	0.0000000000	-0.2205929075
833.6265000663	12.6759515520	8.6710418663	0.0000000000	-0.2187615806
833.6283333996	12.6920649607	8.6871540873	0.0000000000	-0.2169454571
833.6301667329	12.7077656792	8.7028513343	0.0000000000	-0.2151444108
833.6320000663	12.7230529449	8.7181328574	0.0000000000	-0.2133583165
833.6338333996	12.7379260040	8.7329979267	0.0000000000	-0.2115870500
833.6356667329	12.7523841115	8.7474458321	0.0000000000	-0.2098304883
833.6375000663	12.7664265312	8.7614758834	0.0000000000	-0.2080885093
833.6393333996	12.7800525366	8.7750874104	0.0000000000	-0.2063609919
833.6411667329	12.7932614112	8.7882797629	0.0000000000	-0.2046478162
833.6430000663	12.8060524493	8.8010523108	0.0000000000	-0.2029488629
833.6448333996	12.8184249565	8.8134044439	0.0000000000	-0.2012640140
833.6466667329	12.8303782513	8.8253355722	0.0000000000	-0.1995931525
833.6485000663	12.8419116653	8.8368451257	0.0000000000	-0.1979361622
833.6503333996	12.8530245446	8.8479325547	0.0000000000	-0.1962929280
833.6521667329	12.8637162510	8.8585973294	0.0000000000	-0.1946633357
833.6540000663	12.8739861630	8.8688389406	0.0000000000	-0.1930472719
833.6558333996	12.8838336769	8.8786568988	0.0000000000	-0.1914446245
833.6576667329	12.8932582081	8.8880507352	0.0000000000	-0.1898552820
833.6595000663	12.9022591924	8.8970200010	0.0000000000	-0.1882791340
833.6613333996	12.9108360869	8.9055642678	0.0000000000	-0.1867160709
833.6631667329	12.9189883712	8.9136831274	0.0000000000	-0.1851659840
833.6650000663	12.9267155485	8.9213761920	0.0000000000	-0.1836287658
833.6668333996	12.9340171465	8.9286430941	0.0000000000	-0.1821043093
833.6686667329	12.9408927186	8.9354834866	0.0000000000	-0.1805925086
833.6705000663	12.9473418442	8.9418970426	0.0000000000	-0.1790932586
833.6723333996	12.9533641301	8.9478834559	0.0000000000	-0.1776064551
833.6741667329	12.9589592102	8.9534424405	0.0000000000	-0.1761319949
833.6760000663	12.9641267471	8.9585737309	0.0000000000	-0.1746697754
833.6778333996	12.9688664315	8.9632770818	0.0000000000	-0.1732196950
833.6796667329	12.9731779828	8.9675522687	0.0000000000	-0.1717816529
833.6815000663	12.9770611493	8.9713990874	0.0000000000	-0.1703555492
833.6833333996	12.9805157080	8.9748173540	0.0000000000	-0.1689412848
833.6851667329	12.9835414646	8.9778069053	0.0000000000	-0.1675387614
833.6870000663	12.9861382530	8.9803675985	0.0000000000	-0.1661478815
833.6888333996	12.9883059351	8.9824993112	0.0000000000	-0.1647685485
833.6906667329	12.9900444000	8.9842019416	0.0000000000	-0.1634006665
833.6925000663	12.9913535637	8.9854754085	0.0000000000	-0.1620441404
833.6943333996	12.9922333682	8.9863196509	0.0000000000	-0.1606988760
833.6961667330	12.9926837809	8.9867346286	0.0000000000	-0.1593647798
833.6980000663	12.9927047933	8.9867203216	0.0000000000	-0.1580417590
833.6998333996	12.9922964206	8.9862767308	0.0000000000	-0.1567297217
833.7016667330	12.9914587005	8.9854038773	0.0000000000	-0.1554285767
833.7035000663	12.9901916922	8.9841018027	0.0000000000	-0.1541382337
833.7053333996	12.9884954754	8.9823705693	0.0000000000	-0.1528586028
833.7071667330	12.9863701495	8.9802102598	0.0000000000	-0.1515895953
