Relaxation_time(s)	G_modulus(Pa)	Ge(Pa)
0.00000000116607339238	413196218.40219802000000000000	0.00000
0.00000000485191119750	822710712.46125305000000000000	0.00000
0.00000002249710622822	631458572.70319700000000000000	0.00000
0.00000009652457391215	360692931.83589101000000000000	0.00000
0.00000038321857016442	153329407.40849799000000000000	0.00000
0.00000167113605380423	45218823.64536400100000000000	0.00000
0.00000719599089355149	22300379.73377389800000000000	0.00000
0.00002888031619481270	6100996.46463735960000000000	0.00000
0.00014788485913362899	2606182.39757792000000000000	0.00000
0.00058712742226384195	1107879.77071019010000000000	0.00000
0.00236062762218222990	281631.52213294501000000000	0.00000
0.00935518449200199030	128845.41620233000000000000	0.00000
0.04028386692914150100	63542.15958386739700000000	0.00000
0.17983969940356800000	7212.02574323825960000000	0.00000
0.81600723977005996000	13364.52722893009900000000	0.00000
3.29273434403484000000	92756.09571037300300000000	0.00000
13.02560141306480000000	45669.89944493529800000000	0.00000
58.46602160084069800000	131499.98326758601000000000	0.00000
296.69238935980002000000	81101.55040966620400000000	0.00000
1045.64801108838990000000	138966.26813357201000000000	0.00000
5277.60686826938040000000	106834.74288380799000000000	0.00000
26350.31862639719800000000	127618.88139933400000000000	0.00000
87973.43544060959500000000	62631.34284457330100000000	0.00000
412351.95039736800000000000	30937.84963523360100000000	0.00000
1830927.40643751990000000000	0.13841561184986301000	0.00000
7757037.53608147990000000000	0.13221387697134299000	0.00000
