Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-129.5237485175	-5.9065003670	-129.5237485175	368464.5598164820
30250.0109866692	-129.5217248037	-5.9064667887	-129.5217248037	367589.7137878669
30250.0164866692	-129.5197059159	-5.9063540637	-129.5197059159	366710.4779084776
30250.0219866692	-129.5176918781	-5.9061621931	-129.5176918781	365826.8626785122
30250.0274866692	-129.5156827143	-5.9058911794	-129.5156827143	364938.8786502730
30250.0329866692	-129.5136784487	-5.9055410258	-129.5136784487	364046.5364280647
30250.0384866692	-129.5116791050	-5.9051117364	-129.5116791050	363149.8466680919
30250.0439866692	-129.5096847073	-5.9046033164	-129.5096847073	362248.8200791779
30250.0494866692	-129.5076952793	-5.9040157718	-129.5076952793	361343.4674215312
30250.0549866692	-129.5057108447	-5.9033491097	-129.5057108447	360433.7995071507
30250.0604866692	-129.5037314273	-5.9026033380	-129.5037314273	359519.8271999398
30250.0659866692	-129.5017570507	-5.9017784656	-129.5017570507	358601.5614137302
30250.0714866692	-129.4997877385	-5.9008745024	-129.4997877385	357679.0131151825
30250.0769866692	-129.4978235142	-5.8998914592	-129.4978235142	356752.1933215148
30250.0824866692	-129.4958644013	-5.8988293478	-129.4958644013	355821.1131011164
30250.0879866692	-129.4939104231	-5.8976881807	-129.4939104231	354885.7835732431
30250.0934866692	-129.4919616030	-5.8964679716	-129.4919616030	353946.2159073946
30250.0989866692	-129.4900179643	-5.8951687352	-129.4900179643	353002.4213239308
30250.1044866692	-129.4880795301	-5.8937904869	-129.4880795301	352054.4110944942
30250.1099866692	-129.4861463237	-5.8923332432	-129.4861463237	351102.1965403454
30250.1154866692	-129.4842183681	-5.8907970214	-129.4842183681	350145.7890325785
30250.1209866692	-129.4822956863	-5.8891818400	-129.4822956863	349185.1999929432
30250.1264866692	-129.4803783014	-5.8874877182	-129.4803783014	348220.4408928150
30250.1319866692	-129.4784662361	-5.8857146763	-129.4784662361	347251.5232544307
30250.1374866692	-129.4765595133	-5.8838627354	-129.4765595133	346278.4586477904
30250.1429866692	-129.4746581559	-5.8819319177	-129.4746581559	345301.2586938597
30250.1484866692	-129.4727621864	-5.8799222461	-129.4727621864	344319.9350622944
30250.1539866692	-129.4708716276	-5.8778337448	-129.4708716276	343334.4994725859
30250.1594866692	-129.4689865021	-5.8756664386	-129.4689865021	342344.9636935341
30250.1649866692	-129.4671068322	-5.8734203534	-129.4671068322	341351.3395412904
30250.1704866692	-129.4652326406	-5.8710955162	-129.4652326406	340353.6388827628
30250.1759866692	-129.4633639495	-5.8686919545	-129.4633639495	339351.8736326238
30250.1814866692	-129.4615007813	-5.8662096971	-129.4615007813	338346.0557537191
30250.1869866692	-129.4596431583	-5.8636487738	-129.4596431583	337336.1972575857
30250.1924866692	-129.4577911025	-5.8610092150	-129.4577911025	336322.3102049716
30250.1979866691	-129.4559446362	-5.8582910522	-129.4559446362	335304.4067030442
30250.2034866691	-129.4541037814	-5.8554943180	-129.4541037814	334282.4989083805
30250.2089866691	-129.4522685601	-5.8526190458	-129.4522685601	333256.5990246037
30250.2144866691	-129.4504389941	-5.8496652698	-129.4504389941	332226.7193035039
30250.2199866691	-129.4486151054	-5.8466330254	-129.4486151054	331192.8720437072
30250.2254866691	-129.4467969157	-5.8435223487	-129.4467969157	330155.0695919080
30250.2309866691	-129.4449844468	-5.8403332770	-129.4449844468	329113.3243413254
30250.2364866691	-129.4431777202	-5.8370658483	-129.4431777202	328067.6487333496
30250.2419866691	-129.4413767576	-5.8337201016	-129.4413767576	327018.0552556860
30250.2474866691	-129.4395815804	-5.8302960769	-129.4395815804	325964.5564421450
30250.2529866691	-129.4377922102	-5.8267938150	-129.4377922102	324907.1648741953
30250.2584866691	-129.4360086682	-5.8232133578	-129.4360086682	323845.8931793149
30250.2639866691	-129.4342309757	-5.8195547481	-129.4342309757	322780.7540318049
30250.2694866691	-129.4324591541	-5.8158180296	-129.4324591541	321711.7601516622
30250.2749866691	-129.4306932245	-5.8120032468	-129.4306932245	320638.9243046816
30250.2804866691	-129.4289332078	-5.8081104454	-129.4289332078	319562.2593030722
30250.2859866691	-129.4271791253	-5.8041396717	-129.4271791253	318481.7780048402
30250.2914866691	-129.4254309978	-5.8000909734	-129.4254309978	317397.4933128564
30250.2969866691	-129.4236888461	-5.7959643986	-129.4236888461	316309.4181757927
30250.3024866691	-129.4219526912	-5.7917599967	-129.4219526912	315217.5655884244
30250.3079866691	-129.4202225536	-5.7874778178	-129.4202225536	314121.9485895661
30250.3134866691	-129.4184984542	-5.7831179132	-129.4184984542	313022.5802629982
30250.3189866691	-129.4167804135	-5.7786803349	-129.4167804135	311919.4737378905
