Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	99.3963535792	-0.0000229392	-20.9488302849	55071644.7375411320
30250.0109866692	99.6990271160	-0.0000228247	-20.9482750038	55003762.2430680390
30250.0164866692	100.0013265072	-0.0000227111	-20.9477206622	54935636.7976610510
30250.0219866692	100.3032504313	-0.0000225986	-20.9471672561	54867272.6714192930
30250.0274866692	100.6047975841	-0.0000224870	-20.9466147819	54798672.2665689070
30250.0329866692	100.9059666687	-0.0000223763	-20.9460632357	54729836.1164710520
30250.0384866692	101.2067563850	-0.0000222666	-20.9455126138	54660762.8916483300
30250.0439866692	101.5071654195	-0.0000221579	-20.9449629126	54591449.4129098800
30250.0494866692	101.8071924354	-0.0000220501	-20.9444141282	54521890.6714835540
30250.0549866692	102.1068360624	-0.0000219432	-20.9438662570	54452079.8561511930
30250.0604866692	102.4060948870	-0.0000218372	-20.9433192954	54382008.3870311380
30250.0659866692	102.7049674429	-0.0000217321	-20.9427732397	54311665.9564031290
30250.0714866692	103.0034522014	-0.0000216280	-20.9422280862	54241040.5758125930
30250.0769866692	103.3015475629	-0.0000215247	-20.9416838314	54170118.6296406310
30250.0824866692	103.5992518476	-0.0000214222	-20.9411404716	54098884.9347926300
30250.0879866692	103.8965632873	-0.0000213207	-20.9405980033	54027322.8065522310
30250.0934866692	104.1934800173	-0.0000212199	-20.9400564230	53955414.1299244310
30250.0989866692	104.4900000690	-0.0000211201	-20.9395157270	53883139.4364050850
30250.1044866692	104.7861213624	-0.0000210210	-20.9389759118	53810477.9860941170
30250.1099866692	105.0818416995	-0.0000209228	-20.9384369740	53737407.8544952790
30250.1154866692	105.3771587583	-0.0000208254	-20.9378989101	53663906.0238957410
30250.1209866692	105.6720700868	-0.0000207289	-20.9373617165	53589948.4789307790
30250.1264866692	105.9665730981	-0.0000206331	-20.9368253899	53515510.3059110120
30250.1319866692	106.2606650653	-0.0000205381	-20.9362899268	53440565.7957260310
30250.1374866692	106.5543431181	-0.0000204439	-20.9357553238	53365088.5495495050
30250.1429866692	106.8476042391	-0.0000203505	-20.9352215774	53289051.5876529890
30250.1484866692	107.1404452608	-0.0000202579	-20.9346886844	53212427.4600220620
30250.1539866692	107.4328628635	-0.0000201660	-20.9341566413	53135188.3591233340
30250.1594866692	107.7248535738	-0.0000200749	-20.9336254447	53057306.2339640710
30250.1649866692	108.0164137635	-0.0000199845	-20.9330950914	52978752.9052842260
30250.1704866692	108.3075396493	-0.0000198949	-20.9325655781	52899500.1811928080
