Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-4.1766326282	-0.0001204516	-56.5823573703	9201834.2323231157
30250.0109866692	-4.1262081739	-0.0001202261	-56.5812620321	9144685.5957222786
30250.0164866692	-4.0760987413	-0.0001200025	-56.5801677640	9087322.8361428101
30250.0219866692	-4.0263054479	-0.0001197811	-56.5790745629	9029764.3996945899
30250.0274866692	-3.9768293114	-0.0001195617	-56.5779824256	8972028.2590783555
30250.0329866692	-3.9276712520	-0.0001193443	-56.5768913491	8914131.8456852138
30250.0384866692	-3.8788320965	-0.0001191289	-56.5758013300	8856091.9840759262
30250.0439866692	-3.8303125809	-0.0001189156	-56.5747123654	8797924.8290405590
30250.0494866692	-3.7821133549	-0.0001187042	-56.5736244520	8739645.8056609780
30250.0549866692	-3.7342349858	-0.0001184949	-56.5725375868	8681269.5522979330
30250.0604866692	-3.6866779632	-0.0001182875	-56.5714517668	8622809.8670647722
30250.0659866692	-3.6394427036	-0.0001180821	-56.5703669887	8564279.6576888077
30250.0714866692	-3.5925295555	-0.0001178786	-56.5692832496	8505690.8951510563
30250.0769866692	-3.5459388049	-0.0001176771	-56.5682005464	8447054.5711173862
30250.0824866692	-3.4996706804	-0.0001174776	-56.5671188762	8388380.6594737824
30250.0879866692	-3.4537253592	-0.0001172799	-56.5660382357	8329678.0819523912
30250.0934866692	-3.4081029732	-0.0001170842	-56.5649586222	8270954.6781106200
30250.0989866692	-3.3628036144	-0.0001168904	-56.5638800325	8212217.1796679236
30250.1044866692	-3.3178273417	-0.0001166984	-56.5628024637	8153471.1893802639
30250.1099866692	-3.2731741868	-0.0001165084	-56.5617259128	8094721.1644765567
30250.1154866692	-3.2288441606	-0.0001163201	-56.5606503769	8035970.4047171641
30250.1209866692	-3.1848372597	-0.0001161338	-56.5595758530	7977221.0451271133
30250.1264866692	-3.1411534728	-0.0001159493	-56.5585023383	7918474.0534326592
30250.1319866692	-3.0977927869	-0.0001157666	-56.5574298297	7859729.2322980119
30250.1374866692	-3.0547551941	-0.0001155857	-56.5563583243	7800985.2261013305
30250.1429866692	-3.0120406974	-0.0001154067	-56.5552878194	7742239.5324965026
30250.1484866692	-2.9696493174	-0.0001152294	-56.5542183120	7683488.5185938198
30250.1539866692	-2.9275810984	-0.0001150539	-56.5531497992	7624727.4416640019
30250.1594866692	-2.8858361141	-0.0001148802	-56.5520822783	7565950.4743721951
30250.1649866692	-2.8444144739	-0.0001147083	-56.5510157463	7507150.7343736775
30250.1704866692	-2.8033163283	-0.0001145381	-56.5499502004	7448320.3182107769
30250.1759866692	-2.7625418743	-0.0001143697	-56.5488856379	7389450.3393436996
30250.1814866692	-2.7220913612	-0.0001142030	-56.5478220559	7330530.9701774102
30250.1869866692	-2.6819650950	-0.0001140380	-56.5467594516	7271551.4879985601
30250.1924866692	-2.6421634437	-0.0001138748	-56.5456978222	7212500.3244674234
30250.1979866691	-2.6026868412	-0.0001137132	-56.5446371651	7153365.1187218763
30250.2034866691	-2.5635357921	-0.0001135534	-56.5435774773	7094132.7737221094
