Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	32.6921513488	-0.0000493733	-49.2740255104	17447971.2721466610
30250.0109866692	32.7879004894	-0.0000492597	-49.2730192257	17381888.4519524650
30250.0164866692	32.8832856601	-0.0000491468	-49.2720140325	17315645.3565877640
30250.0219866692	32.9783059308	-0.0000490348	-49.2710099273	17249226.9281657040
30250.0274866692	33.0729602873	-0.0000489236	-49.2700069066	17182617.8623596390
30250.0329866692	33.1672476310	-0.0000488132	-49.2690049670	17115802.6500696880
30250.0384866692	33.2611667770	-0.0000487036	-49.2680041050	17048765.6194930560
30250.0439866692	33.3547164541	-0.0000485949	-49.2670043172	16981490.9791511820
30250.0494866692	33.4478953040	-0.0000484869	-49.2660056002	16913962.8614343890
30250.0549866692	33.5407018808	-0.0000483797	-49.2650079506	16846165.3663824570
30250.0604866692	33.6331346513	-0.0000482732	-49.2640113650	16778082.6058958170
30250.0659866692	33.7251919950	-0.0000481676	-49.2630158400	16709698.7479669820
30250.0714866692	33.8168722048	-0.0000480628	-49.2620213723	16640998.0606951430
30250.0769866692	33.9081734872	-0.0000479587	-49.2610279586	16571964.9563491120
30250.0824866692	33.9990939640	-0.0000478554	-49.2600355956	16502584.0347513280
30250.0879866692	34.0896316727	-0.0000477529	-49.2590442798	16432840.1262924750
30250.0934866692	34.1797845683	-0.0000476511	-49.2580540081	16362718.3343599120
30250.0989866692	34.2695505249	-0.0000475501	-49.2570647772	16292204.0766613450
30250.1044866692	34.3589273376	-0.0000474499	-49.2560765838	16221283.1257678400
30250.1099866692	34.4479127244	-0.0000473504	-49.2550894246	16149941.6485170370
30250.1154866692	34.5365043286	-0.0000472517	-49.2541032965	16078166.2440844660
30250.1209866692	34.6246997214	-0.0000471537	-49.2531181963	16005943.9807239310
30250.1264866692	34.7124964045	-0.0000470565	-49.2521341206	15933262.4309419560
30250.1319866692	34.7998918129	-0.0000469600	-49.2511510664	15860109.7051496970
30250.1374866692	34.8868833181	-0.0000468643	-49.2501690304	15786474.4833251140
30250.1429866692	34.9734682312	-0.0000467693	-49.2491880096	15712346.0450448410
30250.1484866692	35.0596438064	-0.0000466750	-49.2482080007	15637714.2974322490
30250.1539866692	35.1454072447	-0.0000465815	-49.2472290007	15562569.8010044880
30250.1594866692	35.2307556970	-0.0000464887	-49.2462510064	15486903.7935158110
30250.1649866692	35.3156862687	-0.0000463967	-49.2452740147	15410708.2113320140
30250.1704866692	35.4001960227	-0.0000463054	-49.2442980226	15333975.7087207880
30250.1759866692	35.4842819842	-0.0000462148	-49.2433230269	15256699.6745828500
30250.1814866692	35.5679411444	-0.0000461249	-49.2423490246	15178874.2469330840
30250.1869866692	35.6511704648	-0.0000460358	-49.2413760128	15100494.3247799580
30250.1924866692	35.7339668812	-0.0000459474	-49.2404039882	15021555.5774654630
30250.1979866691	35.8163273081	-0.0000458597	-49.2394329479	14942054.4516287610
30250.2034866691	35.8982486432	-0.0000457727	-49.2384628890	14861988.1754567720
30250.2089866691	35.9797277712	-0.0000456865	-49.2374938084	14781354.7603444120
30250.2144866691	36.0607615687	-0.0000456010	-49.2365257032	14700153.0001488680
30250.2199866691	36.1413469080	-0.0000455162	-49.2355585703	14618382.4677693710
30250.2254866691	36.2214806617	-0.0000454321	-49.2345924068	14536043.5091230630
30250.2309866691	36.3011597067	-0.0000453487	-49.2336272099	14453137.2347633970
30250.2364866691	36.3803809285	-0.0000452660	-49.2326629765	14369665.5089256240
30250.2419866691	36.4591412252	-0.0000451840	-49.2316997038	14285630.9360850790
30250.2474866691	36.5374375117	-0.0000451028	-49.2307373889	14201036.8452280740
30250.2529866691	36.6152667234	-0.0000450222	-49.2297760288	14115887.2717992940
30250.2584866691	36.6926258202	-0.0000449424	-49.2288156208	14030186.9373244890
30250.2639866691	36.7695117902	-0.0000448633	-49.2278561619	13943941.2269730700
30250.2694866691	36.8459216531	-0.0000447848	-49.2268976493	13857156.1649762580
30250.2749866691	36.9218524638	-0.0000447071	-49.2259400802	13769838.3880552070
30250.2804866691	36.9973013155	-0.0000446300	-49.2249834517	13681995.1169610580
30250.2859866691	37.0722653431	-0.0000445537	-49.2240277611	13593634.1264015120
30250.2914866691	37.1467417258	-0.0000444781	-49.2230730056	13504763.7130254000
30250.2969866691	37.2207276902	-0.0000444031	-49.2221191823	13415392.6621096540
30250.3024866691	37.2942205125	-0.0000443288	-49.2211662885	13325530.2127308250
30250.3079866691	37.3672175214	-0.0000442553	-49.2202143214	13235186.0216589200
30250.3134866691	37.4397160996	-0.0000441824	-49.2192632783	13144370.1261230300
30250.3189866691	37.5117136865	-0.0000441102	-49.2183131565	13053092.9056484460
30250.3244866691	37.5832077792	-0.0000440387	-49.2173639532	12961365.0429105310
30250.3299866691	37.6541959348	-0.0000439679	-49.2164156658	12869197.4839836730
30250.3354866691	37.7246757711	-0.0000438977	-49.2154682915	12776601.3979293050
30250.3409866691	37.7946449680	-0.0000438283	-49.2145218276	12683588.1360791790
30250.3464866691	37.8641012684	-0.0000437595	-49.2135762715	12590169.1909610850
30250.3519866691	37.9330424787	-0.0000436914	-49.2126316205	12496356.1551921400
30250.3574866691	38.0014664691	-0.0000436240	-49.2116878719	12402160.6803605910
30250.3629866691	38.0693711743	-0.0000435572	-49.2107450232	12307594.4362673980
30250.3684866691	38.1367545929	-0.0000434911	-49.2098030717	12212669.0702096690
30250.3739866691	38.2036147873	-0.0000434257	-49.2088620147	12117396.1670652680
30250.3794866691	38.2699498835	-0.0000433609	-49.2079218497	12021787.2098636590
30250.3849866691	38.3357580701	-0.0000432969	-49.2069825741	11925853.5412998070
30250.3904866690	38.4010375977	-0.0000432334	-49.2060441853	11829606.3260292620
30250.3959866690	38.4657867773	-0.0000431707	-49.2051066807	11733056.5140489430
30250.4014866690	38.5300039796	-0.0000431085	-49.2041700578	11636214.8054635640
30250.4069866690	38.5936876331	-0.0000430471	-49.2032343140	11539091.6164436960
30250.4124866690	38.6568362228	-0.0000429863	-49.2022994468	11441697.0466721260
30250.4179866690	38.7194482877	-0.0000429261	-49.2013654537	11344040.8483913990
30250.4234866690	38.7815224197	-0.0000428666	-49.2004323321	11246132.3972382990
30250.4289866690	38.8430572606	-0.0000428078	-49.1995000796	11147980.6646808160
30250.4344866690	38.9040515005	-0.0000427496	-49.1985686936	11049594.1925941070
30250.4399866690	38.9645038746	-0.0000426920	-49.1976381717	10950981.0696643700
30250.4454866690	39.0244131614	-0.0000426350	-49.1967085114	10852148.9099768680
30250.4509866690	39.0837781796	-0.0000425787	-49.1957797102	10753104.8337789380
30250.4564866690	39.1425977853	-0.0000425231	-49.1948517657	10653855.4502952530
30250.4619866690	39.2008708693	-0.0000424681	-49.1939246755	10554406.8431119470
30250.4674866690	39.2585963542	-0.0000424136	-49.1929984371	10454764.5576192480
30250.4729866690	39.3157731912	-0.0000423599	-49.1920730481	10354933.5911441590
30250.4784866690	39.3724003573	-0.0000423067	-49.1911485062	10254918.3851850070
30250.4839866690	39.4284768520	-0.0000422542	-49.1902248088	10154722.8203354700
30250.4894866690	39.4840016943	-0.0000422023	-49.1893019537	10054350.2135161070
30250.4949866690	39.5389739198	-0.0000421510	-49.1883799384	9953803.3177514207
30250.5004866690	39.5933925772	-0.0000421003	-49.1874587606	9853084.3244497087
30250.5059866690	39.6472567255	-0.0000420503	-49.1865384179	9752194.8680014350
30250.5114866690	39.7005654309	-0.0000420008	-49.1856189080	9651136.0328861959
30250.5169866690	39.7533177640	-0.0000419520	-49.1847002286	9549908.3631382026
30250.5224866690	39.8055127963	-0.0000419038	-49.1837823773	9448511.8743691333
30250.5279866690	39.8571495979	-0.0000418562	-49.1828653518	9346946.0677439235
30250.5334866690	39.9082272347	-0.0000418092	-49.1819491498	9245209.9464469738
30250.5389866690	39.9587447652	-0.0000417627	-49.1810337691	9143302.0344020054
30250.5444866690	40.0087012385	-0.0000417169	-49.1801192072	9041220.3968395907
30250.5499866690	40.0580956917	-0.0000416717	-49.1792054620	8938962.6631271858
30250.5554866690	40.1069271473	-0.0000416271	-49.1782925312	8836526.0514543355
30250.5609866690	40.1551946114	-0.0000415831	-49.1773804126	8733907.3953881115
30250.5664866690	40.2028970714	-0.0000415396	-49.1764691038	8631103.1720828768
30250.5719866690	40.2500334944	-0.0000414968	-49.1755586027	8528109.5322182681
30250.5774866690	40.2966028251	-0.0000414546	-49.1746489070	8424922.3314638752
30250.5829866689	40.3426039849	-0.0000414129	-49.1737400145	8321537.1632480593
30250.5884866689	40.3880358699	-0.0000413718	-49.1728319230	8217949.3927687658
30250.5939866689	40.4328973502	-0.0000413313	-49.1719246303	8114154.1923140120
30250.5994866689	40.4771872687	-0.0000412914	-49.1710181343	8010146.5773833813
30250.6049866689	40.5209044408	-0.0000412521	-49.1701124327	7905921.4437285140
30250.6104866689	40.5640476531	-0.0000412134	-49.1692075233	7801473.6051346958
30250.6159866689	40.6066156638	-0.0000411752	-49.1683034041	7696797.8317260388
30250.6214866689	40.6486072023	-0.0000411376	-49.1674000728	7591888.8887299420
30250.6269866689	40.6900209692	-0.0000411006	-49.1664975273	7486741.5754174907
30250.6324866689	40.7308556368	-0.0000410642	-49.1655957655	7381350.7642235793
30250.6379866689	40.7711098494	-0.0000410284	-49.1646947853	7275711.4398372788
30250.6434866689	40.8107822244	-0.0000409931	-49.1637945845	7169818.7380419495
30250.6489866689	40.8498713529	-0.0000409584	-49.1628951610	7063667.9842168847
30250.6544866689	40.8883758010	-0.0000409243	-49.1619965128	6957254.7315442609
30250.6599866689	40.9262941113	-0.0000408907	-49.1610986377	6850574.7981694760
30250.6654866689	40.9636248043	-0.0000408577	-49.1602015337	6743624.3039499214
30250.6709866689	41.0003663803	-0.0000408253	-49.1593051987	6636399.7060542759
30250.6764866689	41.0365173211	-0.0000407935	-49.1584096306	6528897.8335618749
30250.6819866689	41.0720760926	-0.0000407622	-49.1575148274	6421115.9208881492
30250.6874866689	41.1070411469	-0.0000407315	-49.1566207871	6313051.6399495564
30250.6929866689	41.1414109246	-0.0000407014	-49.1557275076	6204703.1304521281
30250.6984866689	41.1751838577	-0.0000406718	-49.1548349868	6096069.0291885883
30250.7039866689	41.2083583727	-0.0000406428	-49.1539432228	5987148.4971284857
30250.7094866689	41.2409328929	-0.0000406144	-49.1530522135	5877941.2450742563
30250.7149866689	41.2729058421	-0.0000405865	-49.1521619570	5768447.5571168028
30250.7204866689	41.3042756474	-0.0000405593	-49.1512724513	5658668.3121405905
30250.7259866689	41.3350407428	-0.0000405325	-49.1503836943	5548605.0034150435
30250.7314866689	41.3651995727	-0.0000405064	-49.1494956841	5438259.7558406861
