Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-64.1248518896	-0.0031141938	-74.2707108105	2275136.3386878711
30250.0109866692	-64.1123765095	-0.0031075227	-74.2693345894	2263494.1580539299
30250.0164866692	-64.0999649270	-0.0031009104	-74.2679596261	2251923.5078373542
30250.0219866692	-64.0876167627	-0.0030943562	-74.2665859170	2240420.0384142650
30250.0274866692	-64.0753316624	-0.0030878595	-74.2652134587	2228979.0122544542
30250.0329866692	-64.0631092991	-0.0030814197	-74.2638422475	2217595.3243669174
30250.0384866692	-64.0509493749	-0.0030750362	-74.2624722799	2206263.5241565057
30250.0439866692	-64.0388516231	-0.0030687083	-74.2611035524	2194977.8385585682
30250.0494866692	-64.0268158097	-0.0030624356	-74.2597360614	2183732.1963753151
30250.0549866692	-64.0148417349	-0.0030562176	-74.2583698035	2172520.2537459685
30250.0604866692	-64.0029292347	-0.0030500536	-74.2570047752	2161335.4206243739
30250.0659866692	-63.9910781821	-0.0030439434	-74.2556409731	2150170.8881757706
30250.0714866692	-63.9792884881	-0.0030378863	-74.2542783937	2139019.6570051997
30250.0769866692	-63.9675601026	-0.0030318821	-74.2529170335	2127874.5660988782
30250.0824866692	-63.9558930156	-0.0030259303	-74.2515568892	2116728.3223470519
30250.0879866692	-63.9442872575	-0.0030200305	-74.2501979574	2105573.5305991690
30250.0934866692	-63.9327428994	-0.0030141825	-74.2488402346	2094402.7240650852
30250.0989866692	-63.9212600539	-0.0030083860	-74.2474837175	2083208.3950119675
30250.1044866692	-63.9098388748	-0.0030026406	-74.2461284028	2071983.0256025747
30250.1099866692	-63.8984795571	-0.0029969461	-74.2447742871	2060719.1187620985
30250.1154866692	-63.8871823371	-0.0029913024	-74.2434213670	2049409.2289869678
30250.1209866692	-63.8759474916	-0.0029857091	-74.2420696393	2038045.9929576039
30250.1264866692	-63.8647753376	-0.0029801662	-74.2407191006	2026622.1598371163
30250.1319866692	-63.8536662317	-0.0029746734	-74.2393697477	2015130.6211527688
30250.1374866692	-63.8426205688	-0.0029692307	-74.2380215773	2003564.4401459182
30250.1429866692	-63.8316387814	-0.0029638380	-74.2366745862	1991916.8804883556
30250.1484866692	-63.8207213384	-0.0029584952	-74.2353287710	1980181.4342366315
30250.1539866692	-63.8098687436	-0.0029532022	-74.2339841286	1968351.8489459064
30250.1594866692	-63.7990815343	-0.0029479590	-74.2326406558	1956422.1538134171
30250.1649866692	-63.7883602796	-0.0029427656	-74.2312983493	1944386.6847953233
30250.1704866692	-63.7777055789	-0.0029376220	-74.2299572060	1932240.1085540417
30250.1759866692	-63.7671180594	-0.0029325282	-74.2286172227	1919977.4451728368
30250.1814866692	-63.7565983749	-0.0029274841	-74.2272783962	1907594.0895666927
30250.1869866692	-63.7461472031	-0.0029224900	-74.2259407234	1895085.8314604091
30250.1924866692	-63.7357652433	-0.0029175458	-74.2246042011	1882448.8739249345
30250.1979866691	-63.7254532146	-0.0029126515	-74.2232688262	1869679.8503447587
30250.2034866691	-63.7152118530	-0.0029078074	-74.2219345957	1856775.8397837353
30250.2089866691	-63.7050419093	-0.0029030134	-74.2206015064	1843734.3806758870
30250.2144866691	-63.6949441459	-0.0028982696	-74.2192695552	1830553.4828209039
30250.2199866691	-63.6849193350	-0.0028935762	-74.2179387392	1817231.6375695919
30250.2254866691	-63.6749682553	-0.0028889332	-74.2166090551	1803767.8262672620
30250.2309866691	-63.6650916896	-0.0028843407	-74.2152805000	1790161.5267936296
30250.2364866691	-63.6552904217	-0.0028797989	-74.2139530708	1776412.7182993903
30250.2419866691	-63.6455652342	-0.0028753079	-74.2126267646	1762521.8840337547
30250.2474866691	-63.6359169052	-0.0028708677	-74.2113015783	1748490.0122897420
30250.2529866691	-63.6263462058	-0.0028664785	-74.2099775089	1734318.5954463866
30250.2584866691	-63.6168538972	-0.0028621403	-74.2086545535	1720009.6271385048
30250.2639866691	-63.6074407281	-0.0028578532	-74.2073327091	1705565.5975195726
30250.2694866691	-63.5981074319	-0.0028536174	-74.2060119727	1690989.4866727910
30250.2749866691	-63.5888547239	-0.0028494329	-74.2046923414	1676284.7561777290
30250.2804866691	-63.5796832990	-0.0028452997	-74.2033738122	1661455.3388640299
30250.2859866691	-63.5705938290	-0.0028412179	-74.2020563824	1646505.6267905361
30250.2914866691	-63.5615869598	-0.0028371875	-74.2007400488	1631440.4574797146
30250.2969866691	-63.5526633096	-0.0028332087	-74.1994248087	1616265.0985028618
30250.3024866691	-63.5438234661	-0.0028292813	-74.1981106592	1600985.2304000496
30250.3079866691	-63.5350679846	-0.0028254054	-74.1967975974	1585606.9280721487
30250.3134866691	-63.5263973856	-0.0028215810	-74.1954856204	1570136.6406463454
30250.3189866691	-63.5178121532	-0.0028178080	-74.1941747254	1554581.1699543651
30250.3244866691	-63.5093127327	-0.0028140863	-74.1928649096	1538947.6476343549
30250.3299866691	-63.5008995295	-0.0028104160	-74.1915561702	1523243.5110025627
30250.3354866691	-63.4925729069	-0.0028067969	-74.1902485042	1507476.4777316842
30250.3409866691	-63.4843331851	-0.0028032290	-74.1889419091	1491654.5194714426
30250.3464866691	-63.4761806396	-0.0027997120	-74.1876363818	1475785.8344804524
30250.3519866691	-63.4681155003	-0.0027962458	-74.1863319198	1459878.8193752649
30250.3574866691	-63.4601379500	-0.0027928303	-74.1850285202	1443942.0401034683
30250.3629866691	-63.4522481244	-0.0027894653	-74.1837261802	1427984.2022600195
30250.3684866691	-63.4444461106	-0.0027861506	-74.1824248972	1412014.1208359778
30250.3739866691	-63.4367319470	-0.0027828859	-74.1811246684	1396040.6895052018
30250.3794866691	-63.4291056232	-0.0027796711	-74.1798254911	1380072.8495917462
30250.3849866691	-63.4215670792	-0.0027765057	-74.1785273625	1364119.5588194528
30250.3904866690	-63.4141162058	-0.0027733896	-74.1772302800	1348189.7599333874
30250.3959866690	-63.4067528450	-0.0027703224	-74.1759342409	1332292.3493497733
30250.4014866690	-63.3994767900	-0.0027673037	-74.1746392426	1316436.1459199658
30250.4069866690	-63.3922877856	-0.0027643334	-74.1733452823	1300629.8599433326
30250.4124866690	-63.3851855295	-0.0027614108	-74.1720523574	1284882.0625109517
30250.4179866690	-63.3781696726	-0.0027585358	-74.1707604653	1269201.1553380929
30250.4234866690	-63.3712398202	-0.0027557078	-74.1694696034	1253595.3411771904
30250.4289866690	-63.3643955333	-0.0027529265	-74.1681797690	1238072.5948866650
30250.4344866690	-63.3576363298	-0.0027501914	-74.1668909595	1222640.6353162031
30250.4399866690	-63.3509616861	-0.0027475020	-74.1656031723	1207306.8980902946
30250.4454866690	-63.3443710387	-0.0027448579	-74.1643164048	1192078.5093688180
30250.4509866690	-63.3378637858	-0.0027422586	-74.1630306546	1176962.2607234581
30250.4564866690	-63.3314392898	-0.0027397036	-74.1617459189	1161964.5851752777
30250.4619866690	-63.3250968785	-0.0027371923	-74.1604621952	1147091.5345188982
30250.4674866690	-63.3188358480	-0.0027347244	-74.1591794811	1132348.7580084570
30250.4729866690	-63.3126554646	-0.0027322992	-74.1578977739	1117741.4824739993
30250.4784866690	-63.3065549673	-0.0027299161	-74.1566170712	1103274.4939339613
30250.4839866690	-63.3005335703	-0.0027275748	-74.1553373703	1088952.1208036349
30250.4894866690	-63.2945904654	-0.0027252745	-74.1540586690	1074778.2187260697
30250.4949866690	-63.2887248249	-0.0027230148	-74.1527809645	1060756.1571098538
30250.5004866690	-63.2829358040	-0.0027207951	-74.1515042545	1046888.8074029465
30250.5059866690	-63.2772225441	-0.0027186148	-74.1502285364	1033178.5331529635
30250.5114866690	-63.2715841748	-0.0027164734	-74.1489538079	1019627.1818913771
30250.5169866690	-63.2660198176	-0.0027143702	-74.1476800664	1006236.0788647988
30250.5224866690	-63.2605285883	-0.0027123048	-74.1464073096	993006.0226586914
