Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	98.7191856514	-0.0000289374	-8.4079406741	62034918.7866979090
30250.0109866692	99.0603331749	-0.0000287545	-8.4076856075	62021112.7400273980
30250.0164866692	99.4014022550	-0.0000285733	-8.4074310553	62006532.2370722290
30250.0219866692	99.7423885826	-0.0000283939	-8.4071770154	61991162.0858127770
30250.0274866692	100.0832877657	-0.0000282162	-8.4069234855	61974987.2269313340
30250.0329866692	100.4240953300	-0.0000280402	-8.4066704633	61957992.7882678810
30250.0384866692	100.7648067202	-0.0000278659	-8.4064179468	61940164.1386393230
30250.0439866692	101.1054173012	-0.0000276932	-8.4061659338	61921486.9408307520
30250.0494866692	101.4459223606	-0.0000275223	-8.4059144220	61901947.2035440210
30250.0549866692	101.7863171098	-0.0000273529	-8.4056634092	61881531.3321521360
30250.0604866692	102.1265966874	-0.0000271852	-8.4054128934	61860226.1780282630
30250.0659866692	102.4667561608	-0.0000270191	-8.4051628724	61838019.0863125700
30250.0714866692	102.8067905297	-0.0000268545	-8.4049133441	61814897.9418734610
30250.0769866692	103.1466947292	-0.0000266915	-8.4046643063	61790851.2134150120
30250.0824866692	103.4864636328	-0.0000265301	-8.4044157570	61765867.9954146820
30250.0879866692	103.8260920562	-0.0000263701	-8.4041676940	61739938.0478514880
30250.0934866692	104.1655747610	-0.0000262117	-8.4039201153	61713051.8335420190
30250.0989866692	104.5049064590	-0.0000260548	-8.4036730187	61685200.5529559330
30250.1044866692	104.8440818158	-0.0000258993	-8.4034264023	61656376.1763430910
30250.1099866692	105.1830954554	-0.0000257454	-8.4031802640	61626571.4731043800
30250.1154866692	105.5219419649	-0.0000255928	-8.4029346017	61595780.0382951270
30250.1209866692	105.8606158989	-0.0000254417	-8.4026894133	61563996.3161525800
30250.1264866692	106.1991117841	-0.0000252920	-8.4024446970	61531215.6204853060
30250.1319866692	106.5374241245	-0.0000251437	-8.4022004506	61497434.1520004500
30250.1374866692	106.8755474060	-0.0000249968	-8.4019566722	61462649.0124329400
30250.1429866692	107.2134761015	-0.0000248512	-8.4017133598	61426858.2153542640
30250.1484866692	107.5512046760	-0.0000247070	-8.4014705113	61390060.6937804590
30250.1539866692	107.8887275916	-0.0000245642	-8.4012281249	61352256.3043238520
30250.1594866692	108.2260393129	-0.0000244226	-8.4009861986	61313445.8281450720
30250.1649866692	108.5631343112	-0.0000242824	-8.4007447303	61273630.9685176760
