Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	25.6492226071	-0.0000568646	-50.7136832954	15628972.2686430050
30250.0109866692	25.7349813904	-0.0000567389	-50.7126596225	15567207.2486898690
30250.0164866692	25.8203991846	-0.0000566142	-50.7116370349	15505045.7068039250
30250.0219866692	25.9054737566	-0.0000564904	-50.7106155293	15442471.6802798040
30250.0274866692	25.9902027875	-0.0000563674	-50.7095951021	15379469.7163266070
30250.0329866692	26.0745838748	-0.0000562454	-50.7085757500	15316024.9152238050
30250.0384866692	26.1586145362	-0.0000561243	-50.7075574697	15252122.9713794330
30250.0439866692	26.2422922127	-0.0000560041	-50.7065402578	15187750.2124706860
30250.0494866692	26.3256142722	-0.0000558848	-50.7055241109	15122893.6364311200
30250.0549866692	26.4085780134	-0.0000557664	-50.7045090257	15057540.9461225920
30250.0604866692	26.4911806699	-0.0000556489	-50.7034949990	14991680.5817174650
30250.0659866692	26.5734194140	-0.0000555323	-50.7024820273	14925301.7504671100
30250.0714866692	26.6552913612	-0.0000554165	-50.7014701075	14858394.4538741150
30250.0769866692	26.7367935748	-0.0000553017	-50.7004592362	14790949.5122608930
30250.0824866692	26.8179230703	-0.0000551877	-50.6994494102	14722958.5863538700
30250.0879866692	26.8986768201	-0.0000550746	-50.6984406263	14654414.1962081120
30250.0934866692	26.9790517582	-0.0000549624	-50.6974328813	14585309.7371645100
30250.0989866692	27.0590447854	-0.0000548511	-50.6964261719	14515639.4927152860
30250.1044866692	27.1386527737	-0.0000547407	-50.6954204949	14445398.6445356250
30250.1099866692	27.2178725716	-0.0000546311	-50.6944158472	14374583.2793127220
30250.1154866692	27.2967010093	-0.0000545224	-50.6934122256	14303190.3925802600
30250.1209866692	27.3751349030	-0.0000544146	-50.6924096270	14231217.8895362630
30250.1264866692	27.4531710607	-0.0000543076	-50.6914080482	14158664.5827368030
30250.1319866692	27.5308062866	-0.0000542015	-50.6904074860	14085530.1867458950
30250.1374866692	27.6080373862	-0.0000540963	-50.6894079375	14011815.3097151220
30250.1429866692	27.6848611715	-0.0000539920	-50.6884093994	13937521.4421022090
30250.1484866692	27.7612744652	-0.0000538885	-50.6874118688	13862650.9422392060
30250.1539866692	27.8372741060	-0.0000537858	-50.6864153425	13787207.0193117540
