Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	93.6457025013	-0.0000223522	-28.2722797818	47745092.8975091060
30250.0109866692	93.9080152205	-0.0000222567	-28.2715824275	47657163.8505025660
30250.0164866692	94.1698408174	-0.0000221620	-28.2708861322	47568152.9254296350
30250.0219866692	94.4311733179	-0.0000220681	-28.2701908916	47478053.1063257750
30250.0274866692	94.6920067159	-0.0000219750	-28.2694967017	47386859.3230783420
30250.0329866692	94.9523349835	-0.0000218826	-28.2688035584	47294568.4859583010
30250.0384866692	95.2121520827	-0.0000217910	-28.2681114579	47201179.5127064440
30250.0439866692	95.4714519757	-0.0000217002	-28.2674203959	47106693.3484313190
30250.0494866692	95.7302286369	-0.0000216101	-28.2667303686	47011112.9778240470
30250.0549866692	95.9884760636	-0.0000215208	-28.2660413720	46914443.4299769770
30250.0604866692	96.2461882873	-0.0000214321	-28.2653534022	46816691.7754792570
30250.0659866692	96.5033593851	-0.0000213443	-28.2646664552	46717867.1161181260
30250.0714866692	96.7599834908	-0.0000212571	-28.2639805271	46617980.5668562650
30250.0769866692	97.0160548057	-0.0000211707	-28.2632956140	46517045.2306419310
30250.0824866692	97.2715676096	-0.0000210849	-28.2626117122	46415076.1655254810
30250.0879866692	97.5265162711	-0.0000209999	-28.2619288176	46312090.3447008950
30250.0934866692	97.7808952587	-0.0000209156	-28.2612469266	46208106.6093778010
30250.0989866692	98.0346991501	-0.0000208320	-28.2605660352	46103145.6147381140
30250.1044866692	98.2879226425	-0.0000207490	-28.2598861397	45997229.7690674140
30250.1099866692	98.5405605617	-0.0000206668	-28.2592072364	45890383.1664590540
30250.1154866692	98.7926078714	-0.0000205852	-28.2585293214	45782631.5130836000
30250.1209866692	99.0440596818	-0.0000205043	-28.2578523911	45674002.0476226810
30250.1264866692	99.2949112574	-0.0000204241	-28.2571764417	45564523.4558049510
30250.1319866692	99.5451580251	-0.0000203445	-28.2565014695	45454225.7796407120
30250.1374866692	99.7947955812	-0.0000202656	-28.2558274709	45343140.3213878720
30250.1429866692	100.0438196978	-0.0000201874	-28.2551544421	45231299.5430952390
