Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-154.3458084555	-4.1766853535	-154.3458084555	368464.2809260105
30250.0109866692	-154.3437847433	-4.1766517902	-154.3437847433	367589.4348973846
30250.0164866692	-154.3417658570	-4.1765390801	-154.3417658570	366710.1990181924
30250.0219866692	-154.3397518207	-4.1763472245	-154.3397518207	365826.5837882133
30250.0274866692	-154.3377426585	-4.1760762257	-154.3377426585	364938.5997599657
30250.0329866692	-154.3357383944	-4.1757260869	-154.3357383944	364046.2575377512
30250.0384866692	-154.3337390523	-4.1752968125	-154.3337390523	363149.5677777713
30250.0439866692	-154.3317446561	-4.1747884073	-154.3317446561	362248.5411888531
30250.0494866692	-154.3297552296	-4.1742008777	-154.3297552296	361343.1885314082
30250.0549866692	-154.3277707966	-4.1735342305	-154.3277707966	360433.5206172277
30250.0604866692	-154.3257913807	-4.1727884737	-154.3257913807	359519.5483100107
30250.0659866692	-154.3238170056	-4.1719636162	-154.3238170056	358601.2825240034
30250.0714866692	-154.3218476950	-4.1710596680	-154.3218476950	357678.7342254517
30250.0769866692	-154.3198834722	-4.1700766397	-154.3198834722	356751.9144317827
30250.0824866692	-154.3179243608	-4.1690145431	-154.3179243608	355820.8342115866
30250.0879866692	-154.3159703842	-4.1678733909	-154.3159703842	354885.5046839183
30250.0934866692	-154.3140215656	-4.1666531968	-154.3140215656	353945.9370180709
30250.0989866692	-154.3120779284	-4.1653539753	-154.3120779284	353002.1424348159
30250.1044866692	-154.3101394958	-4.1639757419	-154.3101394958	352054.1322053796
30250.1099866692	-154.3082062909	-4.1625185131	-154.3082062909	351101.9176512339
30250.1154866692	-154.3062783368	-4.1609823062	-154.3062783368	350145.5101435736
30250.1209866692	-154.3043556566	-4.1593671397	-154.3043556566	349184.9211040479
30250.1264866692	-154.3024382731	-4.1576730329	-154.3024382731	348220.1620043384
30250.1319866692	-154.3005262094	-4.1559000059	-154.3005262094	347251.2443659615
30250.1374866692	-154.2986194882	-4.1540480799	-154.2986194882	346278.1797596382
30250.1429866692	-154.2967181323	-4.1521172770	-154.2967181323	345300.9798058181
30250.1484866692	-154.2948221643	-4.1501076204	-154.2948221643	344319.6561742610
30250.1539866692	-154.2929316071	-4.1480191340	-154.2929316071	343334.2205847680
30250.1594866692	-154.2910464830	-4.1458518427	-154.2910464830	342344.6848057278
30250.1649866692	-154.2891668147	-4.1436057725	-154.2891668147	341351.0606537031
30250.1704866692	-154.2872926246	-4.1412809501	-154.2872926246	340353.3599951885
30250.1759866692	-154.2854239351	-4.1388774033	-154.2854239351	339351.5947450607
30250.1814866692	-154.2835607684	-4.1363951609	-154.2835607684	338345.7768663759
30250.1869866692	-154.2817031469	-4.1338342524	-154.2817031469	337335.9183702589
30250.1924866692	-154.2798510927	-4.1311947085	-154.2798510927	336322.0313176604
30250.1979866691	-154.2780046279	-4.1284765607	-154.2780046279	335304.1278160592
30250.2034866691	-154.2761637747	-4.1256798414	-154.2761637747	334282.2200215163
30250.2089866691	-154.2743285549	-4.1228045841	-154.2743285549	333256.3201377556
30250.2144866691	-154.2724989905	-4.1198508231	-154.2724989905	332226.4404166743
30250.2199866691	-154.2706751033	-4.1168185935	-154.2706751033	331192.5931571014
30250.2254866691	-154.2688569151	-4.1137079318	-154.2688569151	330154.7907053241
30250.2309866691	-154.2670444477	-4.1105188750	-154.2670444477	329113.0454547621
30250.2364866691	-154.2652377227	-4.1072514612	-154.2652377227	328067.3698468058
30250.2419866691	-154.2634367616	-4.1039057294	-154.2634367616	327017.7763691609
30250.2474866691	-154.2616415859	-4.1004817196	-154.2616415859	325964.2775558458
30250.2529866691	-154.2598522172	-4.0969794726	-154.2598522172	324906.8859879159
30250.2584866691	-154.2580686768	-4.0933990304	-154.2580686768	323845.6142932607
30250.2639866691	-154.2562909859	-4.0897404356	-154.2562909859	322780.4751457706
30250.2694866691	-154.2545191658	-4.0860037319	-154.2545191658	321711.4812656468
30250.2749866691	-154.2527532377	-4.0821889641	-154.2527532377	320638.6454188932
30250.2804866691	-154.2509932226	-4.0782961775	-154.2509932226	319561.9804173029
30250.2859866691	-154.2492391416	-4.0743254188	-154.2492391416	318481.4991190891
30250.2914866691	-154.2474910156	-4.0702767354	-154.2474910156	317397.2144271266
30250.2969866691	-154.2457488654	-4.0661501755	-154.2457488654	316309.1392902862
30250.3024866691	-154.2440127120	-4.0619457885	-154.2440127120	315217.2867031436
30250.3079866691	-154.2422825760	-4.0576636246	-154.2422825760	314121.6697044035
30250.3134866691	-154.2405584781	-4.0533037349	-154.2405584781	313022.3013779553
30250.3189866691	-154.2388404389	-4.0488661715	-154.2388404389	311919.1948530679
30250.3244866691	-154.2371284789	-4.0443509874	-154.2371284789	310812.3633025351
30250.3299866691	-154.2354226185	-4.0397582365	-154.2354226185	309701.8199455598
30250.3354866691	-154.2337228782	-4.0350879737	-154.2337228782	308587.5780431168
30250.3409866691	-154.2320292781	-4.0303402547	-154.2320292781	307469.6509028026
30250.3464866691	-154.2303418386	-4.0255151362	-154.2303418386	306348.0518745900
30250.3519866691	-154.2286605798	-4.0206126759	-154.2286605798	305222.7943531186
30250.3574866691	-154.2269855218	-4.0156329323	-154.2269855218	304093.8917764404
30250.3629866691	-154.2253166845	-4.0105759649	-154.2253166845	302961.3576259287
30250.3684866691	-154.2236540879	-4.0054418340	-154.2236540879	301825.2054263733
30250.3739866691	-154.2219977519	-4.0002306011	-154.2219977519	300685.4487467978
30250.3794866691	-154.2203476962	-3.9949423282	-154.2203476962	299542.1011972782
30250.3849866691	-154.2187039406	-3.9895770786	-154.2187039406	298395.1764328567
30250.3904866690	-154.2170665046	-3.9841349164	-154.2170665046	297244.6881495086
30250.3959866690	-154.2154354079	-3.9786159065	-154.2154354079	296090.6500872519
30250.4014866690	-154.2138106699	-3.9730201148	-154.2138106699	294933.0760278611
30250.4069866690	-154.2121923100	-3.9673476082	-154.2121923100	293771.9797952970
30250.4124866690	-154.2105803475	-3.9615984545	-154.2105803475	292607.3752552738
