Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-27.4922400366	-0.0002833195	-61.5927953401	5603398.2082351130
30250.0109866692	-27.4615462957	-0.0002828323	-61.5916334797	5564924.4469242692
30250.0164866692	-27.4310648299	-0.0002823497	-61.5904727006	5526244.0488952929
30250.0219866692	-27.4007967910	-0.0002818720	-61.5893129996	5487352.3147189701
30250.0274866692	-27.3707433570	-0.0002813989	-61.5881543737	5448244.4519061567
30250.0329866692	-27.3409057323	-0.0002809305	-61.5869968197	5408915.6002575085
30250.0384866692	-27.3112851482	-0.0002804668	-61.5858403347	5369360.8580981679
30250.0439866692	-27.2818828631	-0.0002800077	-61.5846849156	5329575.3086458752
30250.0494866692	-27.2527001625	-0.0002795533	-61.5835305592	5289554.0469241943
30250.0549866692	-27.2237383585	-0.0002791036	-61.5823772627	5249292.2068702048
30250.0604866692	-27.1949987900	-0.0002786586	-61.5812250229	5208784.9885819554
30250.0659866692	-27.1664828220	-0.0002782181	-61.5800738370	5168027.6856282968
30250.0714866692	-27.1381918447	-0.0002777823	-61.5789237018	5127015.7122530816
30250.0769866692	-27.1101272735	-0.0002773512	-61.5777746145	5085744.6304817470
30250.0824866692	-27.0822905474	-0.0002769246	-61.5766265720	5044210.1769005219
30250.0879866692	-27.0546831282	-0.0002765027	-61.5754795714	5002408.2890844019
30250.0934866692	-27.0273064993	-0.0002760854	-61.5743336099	4960335.1315352200
30250.0989866692	-27.0001621646	-0.0002756727	-61.5731886844	4917987.1210630788
30250.1044866692	-26.9732516465	-0.0002752646	-61.5720447921	4875360.9514857307
30250.1099866692	-26.9465764849	-0.0002748611	-61.5709019300	4832453.6175175719
30250.1154866692	-26.9201382350	-0.0002744622	-61.5697600953	4789262.4378570858
30250.1209866692	-26.8939384657	-0.0002740680	-61.5686192851	4745785.0773236630
30250.1264866692	-26.8679787576	-0.0002736783	-61.5674794966	4702019.5678301193
30250.1319866692	-26.8422607008	-0.0002732932	-61.5663407269	4657964.3284145165
30250.1374866692	-26.8167858928	-0.0002729127	-61.5652029731	4613618.1839389233
30250.1429866692	-26.7915559363	-0.0002725368	-61.5640662325	4568980.3825514270
30250.1484866692	-26.7665724365	-0.0002721655	-61.5629305022	4524050.6118004248
30250.1539866692	-26.7418369991	-0.0002717988	-61.5617957794	4478829.0133235026
30250.1594866692	-26.7173512274	-0.0002714366	-61.5606620614	4433316.1960907876
30250.1649866692	-26.6931167196	-0.0002710791	-61.5595293454	4387513.2481046617
30250.1704866692	-26.6691350666	-0.0002707262	-61.5583976286	4341421.7465209644
30250.1759866692	-26.6454078490	-0.0002703778	-61.5572669082	4295043.7661704514
30250.1814866692	-26.6219366343	-0.0002700341	-61.5561371816	4248381.8863819689
30250.1869866692	-26.5987229739	-0.0002696949	-61.5550084459	4201439.1961564375
30250.1924866692	-26.5757684010	-0.0002693604	-61.5538806986	4154219.2976455479
30250.1979866691	-26.5530744271	-0.0002690304	-61.5527539368	4106726.3078163704
30250.2034866691	-26.5306425392	-0.0002687050	-61.5516281579	4058964.8584864521
30250.2089866691	-26.5084741975	-0.0002683842	-61.5505033592	4010940.0944836745
