Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-134.4881605051	-5.5605373643	-134.4881605051	368464.5040408787
30250.0109866692	-134.4861367916	-5.5605037890	-134.4861367916	367589.6580122683
30250.0164866692	-134.4841179041	-5.5603910670	-134.4841179041	366710.4221328829
30250.0219866692	-134.4821038666	-5.5601991994	-134.4821038666	365826.8069029206
30250.0274866692	-134.4800947032	-5.5599281887	-134.4800947032	364938.8228746859
30250.0329866692	-134.4780904378	-5.5595780381	-134.4780904378	364046.4806524808
30250.0384866692	-134.4760910945	-5.5591487516	-134.4760910945	363149.7908925058
30250.0439866692	-134.4740966971	-5.5586403346	-134.4740966971	362248.7643035912
30250.0494866692	-134.4721072693	-5.5580527930	-134.4721072693	361343.4116459415
30250.0549866692	-134.4701228351	-5.5573861339	-134.4701228351	360433.7437315621
30250.0604866692	-134.4681434180	-5.5566403652	-134.4681434180	359519.7714243495
30250.0659866692	-134.4661690417	-5.5558154958	-134.4661690417	358601.5056381374
30250.0714866692	-134.4641997298	-5.5549115356	-134.4641997298	357678.9573395892
30250.0769866692	-134.4622355058	-5.5539284954	-134.4622355058	356752.1375459212
30250.0824866692	-134.4602763932	-5.5528663869	-134.4602763932	355821.0573257275
30250.0879866692	-134.4583224153	-5.5517252228	-134.4583224153	354885.7277978503
30250.0934866692	-134.4563735955	-5.5505050167	-134.4563735955	353946.1601319967
30250.0989866692	-134.4544299571	-5.5492057833	-134.4544299571	353002.3655485262
30250.1044866692	-134.4524915233	-5.5478275379	-134.4524915233	352054.3553190815
30250.1099866692	-134.4505583172	-5.5463702972	-134.4505583172	351102.1407649239
30250.1154866692	-134.4486303619	-5.5448340784	-134.4486303619	350145.7332571489
30250.1209866692	-134.4467076804	-5.5432189000	-134.4467076804	349185.1442175088
30250.1264866692	-134.4447902957	-5.5415247812	-134.4447902957	348220.3851173726
30250.1319866692	-134.4428782307	-5.5397517422	-134.4428782307	347251.4674789812
30250.1374866692	-134.4409715083	-5.5378998043	-134.4409715083	346278.4028723299
30250.1429866692	-134.4390701511	-5.5359689896	-134.4390701511	345301.2029183867
30250.1484866692	-134.4371741820	-5.5339593210	-134.4371741820	344319.8792868102
30250.1539866692	-134.4352836235	-5.5318708227	-134.4352836235	343334.4436970917
30250.1594866692	-134.4333984983	-5.5297035195	-134.4333984983	342344.9079180294
30250.1649866692	-134.4315188287	-5.5274574373	-134.4315188287	341351.2837659820
