Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-76.6576883283	-0.0112410417	-81.9031674027	1692568.5365674533
30250.0109866692	-76.6483950311	-0.0112091222	-81.9016219604	1687699.4809954900
30250.0164866692	-76.6391284831	-0.0111774419	-81.9000780070	1682838.8901756082
30250.0219866692	-76.6298886595	-0.0111459986	-81.8985355380	1677980.1569885958
30250.0274866692	-76.6206755711	-0.0111147903	-81.8969945489	1673116.7969553652
30250.0329866692	-76.6114892640	-0.0110838152	-81.8954550355	1668242.4736850560
30250.0384866692	-76.6023298187	-0.0110530715	-81.8939169933	1663351.0236650738
30250.0439866692	-76.5931973488	-0.0110225579	-81.8923804180	1658436.4803176951
30250.0494866692	-76.5840920001	-0.0109922729	-81.8908453052	1653493.0972233026
30250.0549866692	-76.5750139493	-0.0109622153	-81.8893116506	1648515.3704278395
30250.0604866692	-76.5659634023	-0.0109323840	-81.8877794499	1643498.0597593982
30250.0659866692	-76.5569405932	-0.0109027779	-81.8862486989	1638436.2090588140
30250.0714866692	-76.5479457822	-0.0108733962	-81.8847193932	1633325.1652661248
30250.0769866692	-76.5389792540	-0.0108442381	-81.8831915286	1628160.5962780246
30250.0824866692	-76.5300413162	-0.0108153030	-81.8816651009	1622938.5075231327
30250.0879866692	-76.5211322971	-0.0107865901	-81.8801401059	1617655.2571769976
30250.0934866692	-76.5122525439	-0.0107580991	-81.8786165395	1612307.5699863029
30250.0989866692	-76.5034024207	-0.0107298294	-81.8770943973	1606892.5496160886
30250.1044866692	-76.4945823060	-0.0107017806	-81.8755736753	1601407.6895076984
30250.1099866692	-76.4857925910	-0.0106739524	-81.8740543694	1595850.8821899178
30250.1154866692	-76.4770336772	-0.0106463444	-81.8725364753	1590220.4270118009
30250.1209866692	-76.4683059739	-0.0106189563	-81.8710199892	1584515.0362701379
30250.1264866692	-76.4596098964	-0.0105917880	-81.8695049067	1578733.8397087464
30250.1319866692	-76.4509458632	-0.0105648390	-81.8679912240	1572876.3873716516
30250.1374866692	-76.4423142939	-0.0105381092	-81.8664789369	1566942.6508049523
30250.1429866692	-76.4337156071	-0.0105115982	-81.8649680415	1560933.0225959793
30250.1484866692	-76.4251502178	-0.0104853059	-81.8634585336	1554848.3142671301
30250.1539866692	-76.4166185350	-0.0104592318	-81.8619504094	1548689.7524960083
30250.1594866692	-76.4081209598	-0.0104333757	-81.8604436649	1542458.9737338200
30250.1649866692	-76.3996578829	-0.0104077372	-81.8589382960	1536158.0171913176
30250.1704866692	-76.3912296827	-0.0103823159	-81.8574342989	1529789.3162433344
30250.1759866692	-76.3828367226	-0.0103571112	-81.8559316697	1523355.6882723493
