Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	69.5243932857	-0.0000277064	-39.9611716529	31124845.2657924330
30250.0109866692	69.6952927302	-0.0000276207	-39.9602868475	31036457.9477549340
30250.0164866692	69.8657056195	-0.0000275356	-39.9594031606	30947936.7918483990
30250.0219866692	70.0356311436	-0.0000274512	-39.9585205882	30859259.0530462120
30250.0274866692	70.2050683674	-0.0000273674	-39.9576391266	30770401.9578673800
30250.0329866692	70.3740162304	-0.0000272843	-39.9567587717	30681342.7895479310
30250.0384866692	70.5424735479	-0.0000272017	-39.9558795198	30592058.9730106410
30250.0439866692	70.7104390115	-0.0000271198	-39.9550013670	30502528.1586857440
30250.0494866692	70.8779111909	-0.0000270385	-39.9541243093	30412728.3051853290
30250.0549866692	71.0448885359	-0.0000269578	-39.9532483432	30322637.7606598700
30250.0604866692	71.2113693785	-0.0000268776	-39.9523734646	30232235.3422143530
30250.0659866692	71.3773519362	-0.0000267981	-39.9514996699	30141500.4132315400
30250.0714866692	71.5428343148	-0.0000267192	-39.9506269552	30050412.9585240520
30250.0769866692	71.7078145124	-0.0000266408	-39.9497553169	29958953.6566233490
30250.0824866692	71.8722904229	-0.0000265631	-39.9488847512	29867103.9493317680
30250.0879866692	72.0362598414	-0.0000264859	-39.9480152545	29774846.1081046310
30250.0934866692	72.1997204678	-0.0000264093	-39.9471468229	29682163.2969542590
30250.0989866692	72.3626699127	-0.0000263333	-39.9462794529	29589039.6318784100
30250.1044866692	72.5251057028	-0.0000262578	-39.9454131408	29495460.2362596690
30250.1099866692	72.6870252860	-0.0000261829	-39.9445478829	29401411.2923784480
30250.1154866692	72.8484260381	-0.0000261085	-39.9436836756	29306880.0887078720
30250.1209866692	73.0093052685	-0.0000260347	-39.9428205154	29211855.0626016860
30250.1264866692	73.1696602270	-0.0000259615	-39.9419583986	29116325.8387963700
30250.1319866692	73.3294881101	-0.0000258888	-39.9410973217	29020283.2629027440
30250.1374866692	73.4887860682	-0.0000258167	-39.9402372811	28923719.4302168970
30250.1429866692	73.6475512122	-0.0000257451	-39.9393782733	28826627.7095970850
30250.1484866692	73.8057806208	-0.0000256740	-39.9385202947	28729002.7624215970
30250.1539866692	73.9634713476	-0.0000256035	-39.9376633419	28630840.5563783790
30250.1594866692	74.1206204283	-0.0000255335	-39.9368074114	28532138.3742716500
30250.1649866692	74.2772248879	-0.0000254640	-39.9359524996	28432894.8176198750
30250.1704866692	74.4332817479	-0.0000253951	-39.9350986032	28333109.8050904980
30250.1759866692	74.5887880338	-0.0000253266	-39.9342457188	28232784.5659281610
30250.1814866692	74.7437407819	-0.0000252587	-39.9333938428	28131921.6281286440
30250.1869866692	74.8981370467	-0.0000251913	-39.9325429719	28030524.8017189200
30250.1924866692	75.0519739079	-0.0000251245	-39.9316931026	27928599.1569405420
30250.1979866691	75.2052484767	-0.0000250581	-39.9308442317	27826150.9976472710
30250.2034866691	75.3579579033	-0.0000249923	-39.9299963558	27723187.8297905880
30250.2089866691	75.5100993828	-0.0000249269	-39.9291494715	27619718.3254197200
30250.2144866691	75.6616701617	-0.0000248620	-39.9283035755	27515752.2819462160
30250.2199866691	75.8126675439	-0.0000247977	-39.9274586645	27411300.5771670790
30250.2254866691	75.9630888965	-0.0000247338	-39.9266147351	27306375.1201066670
30250.2309866691	76.1129316554	-0.0000246705	-39.9257717842	27200988.7978202890
30250.2364866691	76.2621933302	-0.0000246076	-39.9249298084	27095155.4183293880
30250.2419866691	76.4108715095	-0.0000245452	-39.9240888045	26988889.6501312740
30250.2474866691	76.5589638651	-0.0000244833	-39.9232487693	26882206.9581171050
30250.2529866691	76.7064681562	-0.0000244218	-39.9224096995	26775123.5367241430
30250.2584866691	76.8533822332	-0.0000243609	-39.9215715920	26667656.2398492320
30250.2639866691	76.9997040414	-0.0000243004	-39.9207344435	26559822.5084377450
30250.2694866691	77.1454316234	-0.0000242404	-39.9198982509	26451640.2957318460
30250.2749866691	77.2905631222	-0.0000241808	-39.9190630111	26343127.9902903100
30250.2804866691	77.4350967830	-0.0000241218	-39.9182287208	26234304.3375079150
30250.2859866691	77.5790309553	-0.0000240631	-39.9173953769	26125188.3595944790
30250.2914866691	77.7223640935	-0.0000240050	-39.9165629764	26015799.2744433250
30250.2969866691	77.8650947584	-0.0000239473	-39.9157315162	25906156.4135437460
30250.3024866691	78.0072216171	-0.0000238900	-39.9149009930	25796279.1395659670
30250.3079866691	78.1487434432	-0.0000238332	-39.9140714040	25686186.7637068440
30250.3134866691	78.2896591160	-0.0000237768	-39.9132427459	25575898.4628898460
30250.3189866691	78.4299676197	-0.0000237209	-39.9124150159	25465433.1977694850
30250.3244866691	78.5696680418	-0.0000236654	-39.9115882107	25354809.6312146600
30250.3299866691	78.7087595712	-0.0000236104	-39.9107623275	25244046.0478719250
30250.3354866691	78.8472414960	-0.0000235558	-39.9099373633	25133160.2751000750
30250.3409866691	78.9851132005	-0.0000235016	-39.9091133150	25022169.6055693330
30250.3464866691	79.1223741625	-0.0000234478	-39.9082901796	24911090.7217795890
30250.3519866691	79.2590239490	-0.0000233945	-39.9074679543	24799939.6228237380
30250.3574866691	79.3950622126	-0.0000233416	-39.9066466360	24688731.5535230000
30250.3629866691	79.5304886875	-0.0000232891	-39.9058262218	24577480.9365802000
30250.3684866691	79.6653031838	-0.0000232370	-39.9050067089	24466201.3075270800
30250.3739866691	79.7995055834	-0.0000231853	-39.9041880943	24354905.2531635050
30250.3794866691	79.9330958341	-0.0000231341	-39.9033703750	24243604.3532607480
30250.3849866691	80.0660739439	-0.0000230832	-39.9025535484	24132309.1262479570
30250.3904866690	80.1984399750	-0.0000230328	-39.9017376114	24021028.9787199310
30250.3959866690	80.3301940377	-0.0000229827	-39.9009225612	23909772.1591259130
30250.4014866690	80.4613362838	-0.0000229331	-39.9001083949	23798545.7157119960
30250.4069866690	80.5918668998	-0.0000228838	-39.8992951099	23687355.4590326960
30250.4124866690	80.7217860999	-0.0000228349	-39.8984827031	23576205.9290517270
30250.4179866690	80.8510941195	-0.0000227864	-39.8976711720	23465100.3669942800
30250.4234866690	80.9797912070	-0.0000227383	-39.8968605135	23354040.6920621950
30250.4289866690	81.1078776173	-0.0000226906	-39.8960507251	23243027.4832117180
30250.4344866690	81.2353536041	-0.0000226432	-39.8952418038	23132059.9657702740
30250.4399866690	81.3622194124	-0.0000225962	-39.8944337470	23021136.0033066120
30250.4454866690	81.4884752710	-0.0000225496	-39.8936265520	22910252.0946459770
30250.4509866690	81.6141213848	-0.0000225034	-39.8928202159	22799403.3758965280
30250.4564866690	81.7391579279	-0.0000224575	-39.8920147362	22688583.6277444740
30250.4619866690	81.8635850357	-0.0000224120	-39.8912101100	22577785.2878657650
30250.4674866690	81.9874027974	-0.0000223669	-39.8904063348	22466999.4683693500
30250.4729866690	82.1106112496	-0.0000223221	-39.8896034078	22356215.9783136730
30250.4784866690	82.2332103682	-0.0000222777	-39.8888013263	22245423.3511537800
30250.4839866690	82.3552000622	-0.0000222336	-39.8880000878	22134608.8771766390
30250.4894866690	82.4765801669	-0.0000221899	-39.8871996896	22023758.6404281780
30250.4949866690	82.5973504369	-0.0000221465	-39.8864001290	21912857.5605377780
30250.5004866690	82.7175105406	-0.0000221034	-39.8856014034	21801889.4388225230
30250.5059866690	82.8370600534	-0.0000220608	-39.8848035103	21690837.0088251570
30250.5114866690	82.9559984528	-0.0000220184	-39.8840064471	21579681.9908542300
30250.5169866690	83.0743251124	-0.0000219764	-39.8832102111	21468405.1506282990
30250.5224866690	83.1920392972	-0.0000219347	-39.8824147998	21356986.3613979520
30250.5279866690	83.3091401586	-0.0000218934	-39.8816202106	21245404.6697909870
30250.5334866690	83.4256267305	-0.0000218524	-39.8808264411	21133638.3648731220
30250.5389866690	83.5414979251	-0.0000218117	-39.8800334886	21021665.0500953610
30250.5444866690	83.6567525291	-0.0000217714	-39.8792413507	20909461.7181592100
30250.5499866690	83.7713892013	-0.0000217314	-39.8784500248	20797004.8282052460
30250.5554866690	83.8854064693	-0.0000216917	-39.8776595085	20684270.3853421360
30250.5609866690	83.9988027275	-0.0000216524	-39.8768697992	20571234.0220707650
30250.5664866690	84.1115762353	-0.0000216133	-39.8760808945	20457871.0811550020
30250.5719866690	84.2237251158	-0.0000215746	-39.8752927919	20344156.7001013940
30250.5774866690	84.3352473549	-0.0000215362	-39.8745054890	20230065.8963662160
30250.5829866689	84.4461408010	-0.0000214982	-39.8737189833	20115573.6534823440
30250.5884866689	84.5564031650	-0.0000214604	-39.8729332724	20000655.0074830650
30250.5939866689	84.6660320209	-0.0000214230	-39.8721483538	19885285.1332807430
30250.5994866689	84.7750248069	-0.0000213859	-39.8713642252	19769439.4310775250
30250.6049866689	84.8833788268	-0.0000213491	-39.8705808841	19653093.6119974960
30250.6104866689	84.9910912522	-0.0000213126	-39.8697983283	19536223.7829058770
30250.6159866689	85.0981591246	-0.0000212764	-39.8690165552	19418806.5301732270
30250.6214866689	85.2045793588	-0.0000212405	-39.8682355625	19300819.0017757340
30250.6269866689	85.3103487457	-0.0000212050	-39.8674553480	19182238.9876040180
30250.6324866689	85.4154639564	-0.0000211697	-39.8666759091	19063044.9981512130
30250.6379866689	85.5199215465	-0.0000211348	-39.8658972436	18943216.3401305750
30250.6434866689	85.6237179604	-0.0000211001	-39.8651193492	18822733.1899765620
30250.6489866689	85.7268495368	-0.0000210658	-39.8643422236	18701576.6643273720
30250.6544866689	85.8293125133	-0.0000210318	-39.8635658644	18579728.8872589660
30250.6599866689	85.9311030331	-0.0000209981	-39.8627902693	18457173.0541844330
30250.6654866689	86.0322171504	-0.0000209647	-39.8620154361	18333893.4920674560
30250.6709866689	86.1326508370	-0.0000209316	-39.8612413626	18209875.7160612160
30250.6764866689	86.2323999892	-0.0000208988	-39.8604680463	18085106.4815476130
30250.6819866689	86.3314604345	-0.0000208663	-39.8596954851	17959573.8324189150
30250.6874866689	86.4298279391	-0.0000208341	-39.8589236768	17833267.1447254640
30250.6929866689	86.5274982149	-0.0000208022	-39.8581526191	17706177.1658359880
30250.6984866689	86.6244669279	-0.0000207706	-39.8573823098	17578296.0487304110
30250.7039866689	86.7207297052	-0.0000207394	-39.8566127466	17449617.3814995880
30250.7094866689	86.8162821435	-0.0000207084	-39.8558439274	17320136.2120247600
30250.7149866689	86.9111198172	-0.0000206777	-39.8550758499	17189849.0675632390
30250.7204866689	87.0052382863	-0.0000206473	-39.8543085121	17058753.9690513420
30250.7259866689	87.0986331048	-0.0000206173	-39.8535419117	16926850.4402983930
30250.7314866689	87.1912998291	-0.0000205875	-39.8527760465	16794139.5124102720
30250.7369866689	87.2832340261	-0.0000205580	-39.8520109144	16660623.7222250250
30250.7424866689	87.3744312813	-0.0000205289	-39.8512465133	16526307.1063281040
30250.7479866689	87.4648872077	-0.0000205000	-39.8504828409	16391195.1892297920
30250.7534866689	87.5545974532	-0.0000204714	-39.8497198953	16255294.9670986240
30250.7589866689	87.6435577088	-0.0000204432	-39.8489576742	16118614.8856711290
30250.7644866689	87.7317637168	-0.0000204152	-39.8481961756	15981164.8137823770
30250.7699866688	87.8192112782	-0.0000203875	-39.8474353973	15842956.0117037540
30250.7754866688	87.9058962605	-0.0000203601	-39.8466753374	15704001.0948158560
30250.7809866688	87.9918146046	-0.0000203331	-39.8459159936	15564313.9925925680
30250.7864866688	88.0769623325	-0.0000203063	-39.8451573639	15423909.9030484240
30250.7919866688	88.1613355535	-0.0000202798	-39.8443994463	15282805.2431218920
30250.7974866688	88.2449304711	-0.0000202536	-39.8436422387	15141017.5945567190
30250.8029866688	88.3277433892	-0.0000202277	-39.8428857391	14998565.6461687590
30250.8084866688	88.4097707177	-0.0000202022	-39.8421299454	14855469.1322618590
30250.8139866688	88.4910089785	-0.0000201769	-39.8413748556	14711748.7674333210
30250.8194866688	88.5714548103	-0.0000201519	-39.8406204676	14567426.1784717220
30250.8249866688	88.6511049735	-0.0000201272	-39.8398667796	14422523.8328182470
30250.8304866688	88.7299563547	-0.0000201028	-39.8391137894	14277064.9646348280
30250.8359866688	88.8080059703	-0.0000200786	-39.8383614951	14131073.4983678650
30250.8414866688	88.8852509708	-0.0000200548	-39.8376098947	13984573.9697315230
30250.8469866688	88.9616886428	-0.0000200313	-39.8368589862	13837591.4454589580
30250.8524866688	89.0373164128	-0.0000200081	-39.8361087677	13690151.4408336970
30250.8579866688	89.1121318485	-0.0000199851	-39.8353592372	13542279.8363882970
30250.8634866688	89.1861326611	-0.0000199625	-39.8346103928	13394002.7933887950
30250.8689866688	89.2593167062	-0.0000199401	-39.8338622325	13245346.6685201170
30250.8744866688	89.3316819848	-0.0000199180	-39.8331147543	13096337.9286150750
30250.8799866688	89.4032266438	-0.0000198963	-39.8323679564	12947003.0648266300
30250.8854866688	89.4739489753	-0.0000198748	-39.8316218369	12797368.5073772040
30250.8909866688	89.5438474166	-0.0000198535	-39.8308763938	12647460.5409199150
30250.8964866688	89.6129205487	-0.0000198326	-39.8301316253	12497305.2206629830
30250.9019866688	89.6811670949	-0.0000198120	-39.8293875294	12346928.2893913970
30250.9074866688	89.7485859191	-0.0000197916	-39.8286441043	12196355.0966276230
30250.9129866688	89.8151760227	-0.0000197716	-39.8279013481	12045610.5191296770
30250.9184866688	89.8809365427	-0.0000197518	-39.8271592589	11894718.8834653890
30250.9239866688	89.9458667473	-0.0000197323	-39.8264178349	11743703.8911567550
30250.9294866688	90.0099660333	-0.0000197131	-39.8256770742	11592588.5463098490
30250.9349866688	90.0732339214	-0.0000196941	-39.8249369750	11441395.0861515250
30250.9404866688	90.1356700518	-0.0000196754	-39.8241975355	11290144.9147388390
30250.9459866688	90.1972741798	-0.0000196571	-39.8234587538	11138858.5400942060
30250.9514866688	90.2580461701	-0.0000196389	-39.8227206281	10987555.5147294140
30250.9569866687	90.3179859919	-0.0000196211	-39.8219831566	10836254.3804738580
30250.9624866687	90.3770937130	-0.0000196035	-39.8212463374	10684972.6168404370
30250.9679866687	90.4353694935	-0.0000195863	-39.8205101689	10533726.5937629420
30250.9734866687	90.4928135800	-0.0000195692	-39.8197746492	10382531.5289257130
30250.9789866687	90.5494262989	-0.0000195525	-39.8190397766	10231401.4491383300
30250.9844866687	90.6052080498	-0.0000195360	-39.8183055492	10080349.1571203430
30250.9899866687	90.6601592986	-0.0000195198	-39.8175719653	9929386.2023330498
30250.9954866687	90.7142805706	-0.0000195039	-39.8168390231	9778522.8569644187
