Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	46.1019003092	-0.0000388419	-46.3360977471	21545720.3403805980
30250.0109866692	46.2201414082	-0.0000387437	-46.3351277413	21465597.7654196170
30250.0164866692	46.3379415800	-0.0000386463	-46.3341588394	21385398.1733399290
30250.0219866692	46.4553004205	-0.0000385496	-46.3331910378	21305127.4660017340
30250.0274866692	46.5722175564	-0.0000384537	-46.3322243328	21224791.1508498340
30250.0329866692	46.6886926438	-0.0000383584	-46.3312587209	21144394.3069330530
30250.0384866692	46.8047253648	-0.0000382639	-46.3302941983	21063941.5522251990
30250.0439866692	46.9203154257	-0.0000381701	-46.3293307617	20983437.0127781030
30250.0494866692	47.0354625536	-0.0000380770	-46.3283684073	20902884.2932891920
30250.0549866692	47.1501664936	-0.0000379846	-46.3274071317	20822286.4497936290
30250.0604866692	47.2644270059	-0.0000378929	-46.3264469313	20741645.9641873650
30250.0659866692	47.3782438624	-0.0000378018	-46.3254878027	20660964.7207979110
30250.0714866692	47.4916168433	-0.0000377115	-46.3245297423	20580243.9850489530
30250.0769866692	47.6045457337	-0.0000376218	-46.3235727466	20499484.3845321910
30250.0824866692	47.7170303200	-0.0000375328	-46.3226168123	20418685.8922541250
30250.0879866692	47.8290703865	-0.0000374445	-46.3216619358	20337847.8122601840
30250.0934866692	47.9406657111	-0.0000373568	-46.3207081137	20256968.7677969710
30250.0989866692	48.0518160622	-0.0000372698	-46.3197553427	20176046.6918658650
30250.1044866692	48.1625211944	-0.0000371835	-46.3188036193	20095078.8204180780
30250.1099866692	48.2727808450	-0.0000370978	-46.3178529401	20014061.6880837600
30250.1154866692	48.3825947296	-0.0000370127	-46.3169033018	19932991.1264480390
30250.1209866692	48.4919625390	-0.0000369283	-46.3159547010	19851862.2650394590
30250.1264866692	48.6008839348	-0.0000368445	-46.3150071345	19770669.5347993670
30250.1319866692	48.7093585455	-0.0000367613	-46.3140605988	19689406.6743623390
30250.1374866692	48.8173859632	-0.0000366788	-46.3131150906	19608066.7387528270
30250.1429866692	48.9249657395	-0.0000365969	-46.3121706068	19526642.1107422780
30250.1484866692	49.0320973821	-0.0000365156	-46.3112271440	19445124.5147494260
30250.1539866692	49.1387803508	-0.0000364349	-46.3102846989	19363505.0332060530
30250.1594866692	49.2450140546	-0.0000363548	-46.3093432683	19281774.1254101580
30250.1649866692	49.3507978480	-0.0000362753	-46.3084028491	19199921.6487048680
30250.1704866692	49.4561310276	-0.0000361964	-46.3074634378	19117936.8821125140
30250.1759866692	49.5610128296	-0.0000361181	-46.3065250315	19035808.5520064720
