Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	3.4776627869	-0.0000965880	-55.0682624597	10692570.4933389590
30250.0109866692	3.5362755672	-0.0000963991	-55.0671860239	10632090.8937092000
30250.0164866692	3.5945542552	-0.0000962118	-55.0661106597	10571166.2284007740
30250.0219866692	3.6524964630	-0.0000960262	-55.0650363641	10509815.0646990350
30250.0274866692	3.7100999063	-0.0000958422	-55.0639631338	10448056.3311118820
30250.0329866692	3.7673624059	-0.0000956598	-55.0628909656	10385909.2419687100
30250.0384866692	3.8242818889	-0.0000954790	-55.0618198562	10323393.2214617820
30250.0439866692	3.8808563896	-0.0000952999	-55.0607498026	10260527.8271830160
30250.0494866692	3.9370840502	-0.0000951224	-55.0596808016	10197332.6735846940
30250.0549866692	3.9929631207	-0.0000949465	-55.0586128499	10133827.3556532040
30250.0604866692	4.0484919587	-0.0000947722	-55.0575459446	10070031.3730254170
30250.0659866692	4.1036690285	-0.0000945995	-55.0564800824	10005964.0548370630
30250.0714866692	4.1584928998	-0.0000944284	-55.0554152602	9941644.4856799114
30250.0769866692	4.2129622464	-0.0000942588	-55.0543514751	9877091.4327024315
30250.0824866692	4.2670758441	-0.0000940909	-55.0532887238	9812323.2744629011
30250.0879866692	4.3208325683	-0.0000939245	-55.0522270033	9747357.9315254539
30250.0934866692	4.3742313911	-0.0000937597	-55.0511663107	9682212.7991932351
30250.0989866692	4.4272713787	-0.0000935964	-55.0501066427	9616904.6825594176
30250.1044866692	4.4799516875	-0.0000934347	-55.0490479965	9551449.7342035212
30250.1099866692	4.5322715603	-0.0000932745	-55.0479903690	9485863.3946422562
30250.1154866692	4.5842303226	-0.0000931159	-55.0469337572	9420160.3359114360
30250.1209866692	4.6358273779	-0.0000929588	-55.0458781581	9354354.4082765989
30250.1264866692	4.6870622028	-0.0000928032	-55.0448235687	9288458.5905542746
30250.1319866692	4.7379343426	-0.0000926491	-55.0437699862	9222484.9439700693
30250.1374866692	4.7884434059	-0.0000924965	-55.0427174075	9156444.5697870906
30250.1429866692	4.8385890588	-0.0000923454	-55.0416658297	9090347.5710165594
30250.1484866692	4.8883710198	-0.0000921958	-55.0406152500	9024203.0180974454
30250.1539866692	4.9377890540	-0.0000920476	-55.0395656653	8958018.9190152269
30250.1594866692	4.9868429668	-0.0000919009	-55.0385170728	8891802.1934573390
