Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	100.2032571346	-0.0000237031	-18.1837127310	57329284.7232039940
30250.0109866692	100.5183638354	-0.0000235778	-18.1832168813	57266322.2142251800
30250.0164866692	100.8331223466	-0.0000234537	-18.1827219045	57202780.1392367780
30250.0219866692	101.1475295695	-0.0000233306	-18.1822277969	57138685.7981945500
30250.0274866692	101.4615825533	-0.0000232087	-18.1817345550	57074065.6890858190
30250.0329866692	101.7752784899	-0.0000230879	-18.1812421752	57008945.4140325410
30250.0384866692	102.0886147087	-0.0000229681	-18.1807506540	56943349.5889974680
30250.0439866692	102.4015886712	-0.0000228494	-18.1802599878	56877301.7572904300
30250.0494866692	102.7141979648	-0.0000227318	-18.1797701733	56810824.3071670380
30250.0549866692	103.0264402958	-0.0000226152	-18.1792812068	56743938.3940348030
30250.0604866692	103.3383134827	-0.0000224996	-18.1787930850	56676663.8672584300
30250.0659866692	103.6498154490	-0.0000223851	-18.1783058043	56609019.2021014760
30250.0714866692	103.9609442148	-0.0000222716	-18.1778193614	56541021.4368064180
30250.0769866692	104.2716978893	-0.0000221590	-18.1773337529	56472686.1153247510
30250.0824866692	104.5820746620	-0.0000220475	-18.1768489753	56404027.2356134500
30250.0879866692	104.8920727946	-0.0000219369	-18.1763650253	56335057.2039212440
30250.0934866692	105.2016906114	-0.0000218273	-18.1758818995	56265786.7951658370
30250.0989866692	105.5109264906	-0.0000217186	-18.1753995946	56196225.1193186420
30250.1044866692	105.8197788552	-0.0000216109	-18.1749181072	56126379.5944314000
30250.1099866692	106.1282461633	-0.0000215041	-18.1744374340	56056255.9257805940
30250.1154866692	106.4363268988	-0.0000213982	-18.1739575718	55985858.0918194060
30250.1209866692	106.7440195618	-0.0000212933	-18.1734785173	55915188.3363756160
30250.1264866692	107.0513226593	-0.0000211892	-18.1730002672	55844247.1676932650
30250.1319866692	107.3582346952	-0.0000210861	-18.1725228182	55773033.3638168200
30250.1374866692	107.6647541612	-0.0000209838	-18.1720461672	55701543.9847516570
30250.1429866692	107.9708795274	-0.0000208824	-18.1715703109	55629774.3910685630
30250.1484866692	108.2766092328	-0.0000207818	-18.1710952462	55557718.2687757240
30250.1539866692	108.5819416763	-0.0000206822	-18.1706209698	55485367.6608388870
30250.1594866692	108.8868752079	-0.0000205833	-18.1701474786	55412713.0046353940
30250.1649866692	109.1914081198	-0.0000204853	-18.1696747694	55339743.1756639030
30250.1704866692	109.4955386383	-0.0000203881	-18.1692028392	55266445.5372390670
30250.1759866692	109.7992649150	-0.0000202918	-18.1687316847	55192805.9956011620
30250.1814866692	110.1025850200	-0.0000201962	-18.1682613030	55118809.0609087350
30250.1869866692	110.4054969334	-0.0000201014	-18.1677916909	55044437.9133293410
30250.1924866692	110.7079985387	-0.0000200075	-18.1673228453	54969674.4742661640
30250.1979866691	111.0100876164	-0.0000199143	-18.1668547632	54894499.4822552870
30250.2034866691	111.3117618372	-0.0000198219	-18.1663874416	54818892.5735211220
30250.2089866691	111.6130187565	-0.0000197303	-18.1659208775	54742832.3665581200
30250.2144866691	111.9138558089	-0.0000196394	-18.1654550677	54666296.5507999730
30250.2199866691	112.2142703039	-0.0000195493	-18.1649900094	54589261.9786220120
30250.2254866691	112.5142594208	-0.0000194599	-18.1645256996	54511704.7606771740
30250.2309866691	112.8138202057	-0.0000193712	-18.1640621352	54433600.3640776570
