Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-144.4169844803	-4.8686113589	-144.4169844803	368464.3924821428
30250.0109866692	-144.4149607675	-4.8685777896	-144.4149607675	367589.5464535413
30250.0164866692	-144.4129418805	-4.8684650735	-144.4129418805	366710.3105741651
30250.0219866692	-144.4109278436	-4.8682732119	-144.4109278436	365826.6953442096
30250.0274866692	-144.4089186808	-4.8680022072	-144.4089186808	364938.7113159819
30250.0329866692	-144.4069144161	-4.8676520625	-144.4069144161	364046.3690937864
30250.0384866692	-144.4049150734	-4.8672227820	-144.4049150734	363149.6793338269
30250.0439866692	-144.4029206766	-4.8667143710	-144.4029206766	362248.6527449217
30250.0494866692	-144.4009312495	-4.8661268353	-144.4009312495	361343.3000874932
30250.0549866692	-144.3989468158	-4.8654601822	-144.3989468158	360433.6321731216
30250.0604866692	-144.3969673993	-4.8647144194	-144.3969673993	359519.6598659197
30250.0659866692	-144.3949930237	-4.8638895560	-144.3949930237	358601.3940797196
30250.0714866692	-144.3930237124	-4.8629856018	-144.3930237124	357678.8457811800
30250.0769866692	-144.3910594890	-4.8620025675	-144.3910594890	356752.0259875211
30250.0824866692	-144.3891003770	-4.8609404650	-144.3891003770	355820.9457673379
30250.0879866692	-144.3871463997	-4.8597993069	-144.3871463997	354885.6162394689
30250.0934866692	-144.3851975806	-4.8585791068	-144.3851975806	353946.0485736256
30250.0989866692	-144.3832539428	-4.8572798793	-144.3832539428	353002.2539901695
30250.1044866692	-144.3813155095	-4.8559016399	-144.3813155095	352054.2437607407
30250.1099866692	-144.3793823040	-4.8544444051	-144.3793823040	351102.0292065997
30250.1154866692	-144.3774543493	-4.8529081923	-144.3774543493	350145.6216988406
30250.1209866692	-144.3755316685	-4.8512930199	-144.3755316685	349185.0326592105
30250.1264866692	-144.3736142844	-4.8495989070	-144.3736142844	348220.2735592968
30250.1319866692	-144.3717022201	-4.8478258740	-144.3717022201	347251.3559209182
30250.1374866692	-144.3697954982	-4.8459739421	-144.3697954982	346278.2913144868
30250.1429866692	-144.3678941417	-4.8440431333	-144.3678941417	345301.0913605547
30250.1484866692	-144.3659981732	-4.8420334707	-144.3659981732	344319.7677289918
30250.1539866692	-144.3641076153	-4.8399449783	-144.3641076153	343334.3321392834
30250.1594866692	-144.3622224906	-4.8377776811	-144.3622224906	342344.7963602319
30250.1649866692	-144.3603428217	-4.8355316049	-144.3603428217	341351.1722081953
30250.1704866692	-144.3584686310	-4.8332067765	-144.3584686310	340353.4715496685
30250.1759866692	-144.3565999409	-4.8308032238	-144.3565999409	339351.7062995257
30250.1814866692	-144.3547367736	-4.8283209754	-144.3547367736	338345.8884206218
30250.1869866692	-144.3528791515	-4.8257600610	-144.3528791515	337336.0299244907
30250.1924866692	-144.3510270966	-4.8231205111	-144.3510270966	336322.1428718765
30250.1979866691	-144.3491806313	-4.8204023573	-144.3491806313	335304.2393701554
30250.2034866691	-144.3473397774	-4.8176056321	-144.3473397774	334282.3315754921
30250.2089866691	-144.3455045570	-4.8147303688	-144.3455045570	333256.4316917123
30250.2144866691	-144.3436749919	-4.8117766018	-144.3436749919	332226.5519706122
30250.2199866691	-144.3418511041	-4.8087443663	-144.3418511041	331192.7047110183
30250.2254866691	-144.3400329154	-4.8056336986	-144.3400329154	330154.9022592210
30250.2309866691	-144.3382204473	-4.8024446358	-144.3382204473	329113.1570086338
30250.2364866691	-144.3364137217	-4.7991772160	-144.3364137217	328067.4814006552
30250.2419866691	-144.3346127600	-4.7958314783	-144.3346127600	327017.8879229869
30250.2474866691	-144.3328175837	-4.7924074625	-144.3328175837	325964.3891096488
30250.2529866691	-144.3310282144	-4.7889052096	-144.3310282144	324906.9975416963
30250.2584866691	-144.3292446733	-4.7853247614	-144.3292446733	323845.7258470210
30250.2639866691	-144.3274669818	-4.7816661606	-144.3274669818	322780.5866995074
30250.2694866691	-144.3256951611	-4.7779294510	-144.3256951611	321711.5928193612
30250.2749866691	-144.3239292324	-4.7741146772	-144.3239292324	320638.7569725847
30250.2804866691	-144.3221692167	-4.7702218847	-144.3221692167	319562.0919709707
30250.2859866691	-144.3204151351	-4.7662511200	-144.3204151351	318481.6106727346
30250.2914866691	-144.3186670084	-4.7622024306	-144.3186670084	317397.3259807488
30250.2969866691	-144.3169248577	-4.7580758647	-144.3169248577	316309.2508438925
30250.3024866691	-144.3151887037	-4.7538714718	-144.3151887037	315217.3982567276
30250.3079866691	-144.3134585671	-4.7495893019	-144.3134585671	314121.7812578628
30250.3134866691	-144.3117344686	-4.7452294062	-144.3117344686	313022.4129312903
30250.3189866691	-144.3100164287	-4.7407918369	-144.3100164287	311919.3064061779
30250.3244866691	-144.3083044681	-4.7362766468	-144.3083044681	310812.4748556275
30250.3299866691	-144.3065986071	-4.7316838900	-144.3065986071	309701.9314982251
30250.3354866691	-144.3048988662	-4.7270136212	-144.3048988662	308587.6895957646
30250.3409866691	-144.3032052655	-4.7222658962	-144.3032052655	307469.7624554341
30250.3464866691	-144.3015178254	-4.7174407718	-144.3015178254	306348.1634272040
