Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-139.4525724927	-5.2145743616	-139.4525724927	368464.4482620058
30250.0109866692	-139.4505487796	-5.2145407893	-139.4505487796	367589.6022333964
30250.0164866692	-139.4485298923	-5.2144280703	-139.4485298923	366710.3663540133
30250.0219866692	-139.4465158551	-5.2142362057	-139.4465158551	365826.7511240511
30250.0274866692	-139.4445066920	-5.2139651980	-139.4445066920	364938.7670958163
30250.0329866692	-139.4425024270	-5.2136150503	-139.4425024270	364046.4248736143
30250.0384866692	-139.4405030839	-5.2131857668	-139.4405030839	363149.7351136482
30250.0439866692	-139.4385086868	-5.2126773528	-139.4385086868	362248.7085247404
30250.0494866692	-139.4365192594	-5.2120898142	-139.4365192594	361343.3558671005
30250.0549866692	-139.4345348255	-5.2114231580	-139.4345348255	360433.6879527231
30250.0604866692	-139.4325554087	-5.2106773923	-139.4325554087	359519.7156455194
30250.0659866692	-139.4305810327	-5.2098525259	-139.4305810327	358601.4498593164
30250.0714866692	-139.4286117211	-5.2089485687	-139.4286117211	357678.9015607734
30250.0769866692	-139.4266474974	-5.2079655314	-139.4266474974	356752.0817671124
30250.0824866692	-139.4246883851	-5.2069034259	-139.4246883851	355821.0015469267
30250.0879866692	-139.4227344075	-5.2057622648	-139.4227344075	354885.6720190598
30250.0934866692	-139.4207855881	-5.2045420617	-139.4207855881	353946.1043532162
30250.0989866692	-139.4188419499	-5.2032428313	-139.4188419499	353002.3097697570
30250.1044866692	-139.4169035164	-5.2018645889	-139.4169035164	352054.2995403253
30250.1099866692	-139.4149703106	-5.2004073512	-139.4149703106	351102.0849861826
30250.1154866692	-139.4130423556	-5.1988711354	-139.4130423556	350145.6774784228
30250.1209866692	-139.4111196744	-5.1972559599	-139.4111196744	349185.0884387929
30250.1264866692	-139.4092022901	-5.1955618441	-139.4092022901	348220.3293386718
30250.1319866692	-139.4072902254	-5.1937888081	-139.4072902254	347251.4117002921
30250.1374866692	-139.4053835033	-5.1919368732	-139.4053835033	346278.3470938604
30250.1429866692	-139.4034821464	-5.1900060614	-139.4034821464	345301.1471399333
30250.1484866692	-139.4015861776	-5.1879963959	-139.4015861776	344319.8235083719
30250.1539866692	-139.3996956194	-5.1859079005	-139.3996956194	343334.3879186670
30250.1594866692	-139.3978104944	-5.1837406003	-139.3978104944	342344.8521396204
30250.1649866692	-139.3959308252	-5.1814945211	-139.3959308252	341351.2279875864
30250.1704866692	-139.3940566342	-5.1791696898	-139.3940566342	340353.5273290639
30250.1759866692	-139.3921879437	-5.1767661341	-139.3921879437	339351.7620789289
30250.1814866692	-139.3903247762	-5.1742838827	-139.3903247762	338345.9442000293
30250.1869866692	-139.3884671537	-5.1717229653	-139.3884671537	337336.0857039025
30250.1924866692	-139.3866150986	-5.1690834124	-139.3866150986	336322.1986512937
30250.1979866691	-139.3847686329	-5.1663652557	-139.3847686329	335304.2951495786
30250.2034866691	-139.3829277787	-5.1635685274	-139.3829277787	334282.3873549214
30250.2089866691	-139.3810925580	-5.1606932611	-139.3810925580	333256.4874711495
30250.2144866691	-139.3792629927	-5.1577394911	-139.3792629927	332226.6077500588
30250.2199866691	-139.3774391046	-5.1547072527	-139.3774391046	331192.7604904738
30250.2254866691	-139.3756209155	-5.1515965820	-139.3756209155	330154.9580386833
30250.2309866691	-139.3738084472	-5.1484075162	-139.3738084472	329113.2127881080
30250.2364866691	-139.3720017212	-5.1451400935	-139.3720017212	328067.5371801369
30250.2419866691	-139.3702007592	-5.1417943527	-139.3702007592	327017.9437024766
30250.2474866691	-139.3684055826	-5.1383703340	-139.3684055826	325964.4448889393
30250.2529866691	-139.3666162130	-5.1348680781	-139.3666162130	324907.0533209940
30250.2584866691	-139.3648326716	-5.1312876269	-139.3648326716	323845.7816263241
30250.2639866691	-139.3630549798	-5.1276290231	-139.3630549798	322780.6424788170
30250.2694866691	-139.3612831588	-5.1238923106	-139.3612831588	321711.6485986770
30250.2749866691	-139.3595172297	-5.1200775337	-139.3595172297	320638.8127519064
30250.2804866691	-139.3577572137	-5.1161847383	-139.3577572137	319562.1477502982
30250.2859866691	-139.3560031318	-5.1122139706	-139.3560031318	318481.6664520666
30250.2914866691	-139.3542550049	-5.1081652782	-139.3542550049	317397.3817600862
30250.2969866691	-139.3525128538	-5.1040387094	-139.3525128538	316309.3066230214
30250.3024866691	-139.3507766995	-5.0998343134	-139.3507766995	315217.4540356543
30250.3079866691	-139.3490465626	-5.0955521406	-139.3490465626	314121.8370367937
30250.3134866691	-139.3473224638	-5.0911922419	-139.3473224638	313022.4687102267
30250.3189866691	-139.3456044237	-5.0867546696	-139.3456044237	311919.3621851193
30250.3244866691	-139.3438924627	-5.0822394765	-139.3438924627	310812.5306345721
30250.3299866691	-139.3421866014	-5.0776467167	-139.3421866014	309701.9872771749
