Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	90.7249330699	-0.0000226248	-30.4550613155	44991979.5404918340
30250.0109866692	90.9720631101	-0.0000225332	-30.4543255200	44891586.8234406640
30250.0164866692	91.2186378679	-0.0000224424	-30.4535908053	44790236.1533485730
30250.0219866692	91.4646521439	-0.0000223523	-30.4528571673	44687949.1768657340
30250.0274866692	91.7101008638	-0.0000222630	-30.4521246018	44584749.2216510920
30250.0329866692	91.9549790863	-0.0000221744	-30.4513931049	44480661.2262437190
30250.0384866692	92.1992820128	-0.0000220866	-30.4506626725	44375711.6641045510
30250.0439866692	92.4430049946	-0.0000219995	-30.4499333005	44269928.4618800510
30250.0494866692	92.6861435414	-0.0000219131	-30.4492049851	44163340.9120651190
30250.0549866692	92.9286933280	-0.0000218274	-30.4484777221	44055979.5807005610
30250.0604866692	93.1706502015	-0.0000217424	-30.4477515076	43947876.2103220000
30250.0659866692	93.4120101866	-0.0000216582	-30.4470263378	43839063.6181898420
30250.0714866692	93.6527694921	-0.0000215746	-30.4463022086	43729575.5907402410
30250.0769866692	93.8929245154	-0.0000214917	-30.4455791161	43619446.7741986440
30250.0824866692	94.1324718469	-0.0000214095	-30.4448570565	43508712.5620469230
30250.0879866692	94.3714082736	-0.0000213280	-30.4441360259	43397408.9793845190
30250.0934866692	94.6097307826	-0.0000212472	-30.4434160205	43285572.5649558900
30250.0989866692	94.8474365632	-0.0000211670	-30.4426970364	43173240.2512766640
30250.1044866692	95.0845230089	-0.0000210875	-30.4419790698	43060449.2431036680
30250.1099866692	95.3209877180	-0.0000210086	-30.4412621169	42947236.8945491540
30250.1154866692	95.5568284948	-0.0000209304	-30.4405461740	42833640.5858493300
30250.1209866692	95.7920433487	-0.0000208529	-30.4398312372	42719697.5996902810
30250.1264866692	96.0266304936	-0.0000207759	-30.4391173029	42605444.9977418040
30250.1319866692	96.2605883461	-0.0000206996	-30.4384043674	42490919.4980288220
30250.1374866692	96.4939155233	-0.0000206239	-30.4376924269	42376157.3531534970
30250.1429866692	96.7266108398	-0.0000205489	-30.4369814777	42261194.2303553890
30250.1484866692	96.9586733044	-0.0000204744	-30.4362715163	42146065.0933331550
30250.1539866692	97.1901021151	-0.0000204006	-30.4355625388	42030804.0866563170
30250.1594866692	97.4208966552	-0.0000203273	-30.4348545418	41915444.4229920880
30250.1649866692	97.6510564870	-0.0000202547	-30.4341475216	41800018.2735266830
30250.1704866692	97.8805813463	-0.0000201826	-30.4334414746	41684556.6621471640
