Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-50.1927124474	-0.0010027666	-68.2249281340	3251517.0297373682
30250.0109866692	-50.1749186539	-0.0010009509	-68.2236630902	3223937.6033634562
30250.0164866692	-50.1572771380	-0.0009991567	-68.2223991927	3196178.4471940626
30250.0219866692	-50.1397888401	-0.0009973839	-68.2211364383	3168254.3248746311
30250.0274866692	-50.1224546191	-0.0009956324	-68.2198748238	3140180.2062932104
30250.0329866692	-50.1052752507	-0.0009939022	-68.2186143460	3111971.2201106912
30250.0384866692	-50.0882514274	-0.0009921933	-68.2173550016	3083642.6057797577
30250.0439866692	-50.0713837573	-0.0009905055	-68.2160967876	3055209.6653154711
30250.0494866692	-50.0546727644	-0.0009888388	-68.2148397007	3026687.7149364809
30250.0549866692	-50.0381188886	-0.0009871930	-68.2135837378	2998092.0367704723
30250.0604866692	-50.0217224860	-0.0009855681	-68.2123288958	2969437.8308527144
30250.0659866692	-50.0054838294	-0.0009839640	-68.2110751714	2940740.1674347506
30250.0714866692	-49.9894031093	-0.0009823805	-68.2098225617	2912013.9399994663
30250.0769866692	-49.9734804351	-0.0009808175	-68.2085710636	2883273.8189376146
30250.0824866692	-49.9577158362	-0.0009792749	-68.2073206739	2854534.2062301626
30250.0879866692	-49.9421092639	-0.0009777525	-68.2060713895	2825809.1911647641
30250.0934866692	-49.9266605931	-0.0009762503	-68.2048232075	2797112.5072939787
30250.0989866692	-49.9113696245	-0.0009747680	-68.2035761248	2768457.4908645302
30250.1044866692	-49.8962360868	-0.0009733056	-68.2023301383	2739857.0407294920
30250.1099866692	-49.8812596392	-0.0009718628	-68.2010852450	2711323.5800032248
30250.1154866692	-49.8664398743	-0.0009704395	-68.1998414419	2682869.0195177360
30250.1209866692	-49.8517763211	-0.0009690356	-68.1985987261	2654504.7232921580
30250.1264866692	-49.8372684478	-0.0009676508	-68.1973570946	2626241.4760412402
30250.1319866692	-49.8229156652	-0.0009662850	-68.1961165443	2598089.4529268625
30250.1374866692	-49.8087173303	-0.0009649380	-68.1948770724	2570058.1916080439
30250.1429866692	-49.7946727499	-0.0009636097	-68.1936386758	2542156.5666959151
30250.1484866692	-49.7807811839	-0.0009622998	-68.1924013518	2514392.7667495715
