Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-99.7372765918	-7.9822783827	-99.7372765918	368464.8944883256
30250.0109866692	-99.7352528762	-7.9822447866	-99.7352528762	367590.0484595362
30250.0164866692	-99.7332339865	-7.9821320436	-99.7332339865	366710.8125800758
30250.0219866692	-99.7312199469	-7.9819401552	-99.7312199469	365827.1973501939
30250.0274866692	-99.7292107813	-7.9816691236	-99.7292107813	364939.2133217814
30250.0329866692	-99.7272065138	-7.9813189521	-99.7272065138	364046.8710992972
30250.0384866692	-99.7252071683	-7.9808896448	-99.7252071683	363150.1813394092
30250.0439866692	-99.7232127687	-7.9803812069	-99.7232127687	362249.1547503743
30250.0494866692	-99.7212233389	-7.9797936444	-99.7212233389	361343.8020927601
30250.0549866692	-99.7192389025	-7.9791269644	-99.7192389025	360434.1341783108
30250.0604866692	-99.7172594832	-7.9783811748	-99.7172594832	359520.1618706159
30250.0659866692	-99.7152851048	-7.9775562845	-99.7152851048	358601.8960845412
30250.0714866692	-99.7133157908	-7.9766523035	-99.7133157908	357679.3477860279
30250.0769866692	-99.7113515646	-7.9756692424	-99.7113515646	356752.5279923433
30250.0824866692	-99.7093924499	-7.9746071130	-99.7093924499	355821.4477718275
30250.0879866692	-99.7074384698	-7.9734659280	-99.7074384698	354886.1182434742
30250.0934866692	-99.7054896479	-7.9722457011	-99.7054896479	353946.5505774525
30250.0989866692	-99.7035460073	-7.9709464468	-99.7035460073	353002.7559941820
30250.1044866692	-99.7016075713	-7.9695681806	-99.7016075713	352054.7457645751
30250.1099866692	-99.6996743631	-7.9681109189	-99.6996743631	351102.5312100524
30250.1154866692	-99.6977464056	-7.9665746793	-99.6977464056	350146.1237021182
30250.1209866692	-99.6958237220	-7.9649594800	-99.6958237220	349185.5346626788
30250.1264866692	-99.6939063352	-7.9632653403	-99.6939063352	348220.7755629536
30250.1319866692	-99.6919942681	-7.9614922805	-99.6919942681	347251.8579241441
30250.1374866692	-99.6900875435	-7.9596403217	-99.6900875435	346278.7933176987
30250.1429866692	-99.6881861842	-7.9577094861	-99.6881861842	345301.5933639632
30250.1484866692	-99.6862902129	-7.9556997966	-99.6862902129	344320.2697329588
30250.1539866692	-99.6843996523	-7.9536112774	-99.6843996523	343334.8341436553
30250.1594866692	-99.6825145248	-7.9514439533	-99.6825145248	342345.2983644417
30250.1649866692	-99.6806348532	-7.9491978503	-99.6806348532	341351.6742123465
30250.1704866692	-99.6787606597	-7.9468729951	-99.6787606597	340353.9735538647
30250.1759866692	-99.6768919668	-7.9444694155	-99.6768919668	339352.2083035111
30250.1814866692	-99.6750287967	-7.9419871403	-99.6750287967	338346.3904244444
30250.1869866692	-99.6731711718	-7.9394261990	-99.6731711718	337336.5319283568
30250.1924866692	-99.6713191143	-7.9367866223	-99.6713191143	336322.6448756876
30250.1979866691	-99.6694726461	-7.9340684417	-99.6694726461	335304.7413739116
30250.2034866691	-99.6676317895	-7.9312716896	-99.6676317895	334282.8335792474
30250.2089866691	-99.6657965663	-7.9283963995	-99.6657965663	333256.9336954682
30250.2144866691	-99.6639669985	-7.9254426056	-99.6639669985	332227.0539742642
30250.2199866691	-99.6621431080	-7.9224103433	-99.6621431080	331193.2067146226
30250.2254866691	-99.6603249164	-7.9192996488	-99.6603249164	330155.4042628266
30250.2309866691	-99.6585124456	-7.9161105591	-99.6585124456	329113.6590124004
30250.2364866691	-99.6567057172	-7.9128431125	-99.6567057172	328067.9834044792
30250.2419866691	-99.6549047528	-7.9094973479	-99.6549047528	327018.3899265083
30250.2474866691	-99.6531095738	-7.9060733053	-99.6531095738	325964.8911130762
30250.2529866691	-99.6513202017	-7.9025710255	-99.6513202017	324907.4995452378
30250.2584866691	-99.6495366578	-7.8989905505	-99.6495366578	323846.2278505688
30250.2639866691	-99.6477589636	-7.8953319229	-99.6477589636	322781.0887029104
30250.2694866691	-99.6459871401	-7.8915951864	-99.6459871401	321712.0948223091
30250.2749866691	-99.6442212086	-7.8877803858	-99.6442212086	320639.2589750236
30250.2804866691	-99.6424611901	-7.8838875664	-99.6424611901	319562.5939732653
30250.2859866691	-99.6407071058	-7.8799167749	-99.6407071058	318482.1126745744
