Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	64.1442108500	-0.0000296772	-41.6368509943	28640279.3765288440
30250.0109866692	64.3014498698	-0.0000295898	-41.6359427693	28553302.9586328750
30250.0164866692	64.4582093535	-0.0000295031	-41.6350356615	28465965.8363104610
30250.0219866692	64.6144872707	-0.0000294170	-41.6341296669	28378253.8122391100
30250.0274866692	64.7702815156	-0.0000293316	-41.6332247816	28290153.5388557390
30250.0329866692	64.9255899121	-0.0000292468	-41.6323210020	28201652.5642906170
30250.0384866692	65.0804102185	-0.0000291627	-41.6314183240	28112739.3744853620
30250.0439866692	65.2347401328	-0.0000290791	-41.6305167441	28023403.4315348040
30250.0494866692	65.3885772985	-0.0000289962	-41.6296162583	27933635.2082739700
30250.0549866692	65.5419193100	-0.0000289140	-41.6287168630	27843426.2185435220
30250.0604866692	65.6947637185	-0.0000288323	-41.6278185543	27752769.0435022790
30250.0659866692	65.8471080379	-0.0000287513	-41.6269213287	27661657.3537355330
30250.0714866692	65.9989497510	-0.0000286708	-41.6260251823	27570085.9267121960
30250.0769866692	66.1502863153	-0.0000285910	-41.6251301116	27478050.6602650060
30250.0824866692	66.3011151695	-0.0000285117	-41.6242361128	27385548.5813740230
30250.0879866692	66.4514337398	-0.0000284331	-41.6233431823	27292577.8505117630
30250.0934866692	66.6012394457	-0.0000283550	-41.6224513165	27199137.7616836090
30250.0989866692	66.7505297066	-0.0000282776	-41.6215605117	27105228.7377796170
30250.1044866692	66.8993019480	-0.0000282007	-41.6206707644	27010852.3216698910
30250.1099866692	67.0475536072	-0.0000281244	-41.6197820709	26916011.1628118010
30250.1154866692	67.1952821399	-0.0000280487	-41.6188944278	26820708.9994966460
30250.1209866692	67.3424850257	-0.0000279736	-41.6180078314	26724950.6368874870
30250.1264866692	67.4891597740	-0.0000278990	-41.6171222783	26628741.9207100760
30250.1319866692	67.6353039298	-0.0000278250	-41.6162377649	26532089.7071899210
30250.1374866692	67.7809150788	-0.0000277515	-41.6153542878	26435001.8286064380
30250.1429866692	67.9259908529	-0.0000276787	-41.6144718434	26337487.0553511940
30250.1484866692	68.0705289354	-0.0000276063	-41.6135904282	26239555.0540952350
30250.1539866692	68.2145270652	-0.0000275346	-41.6127100390	26141216.3425179160
30250.1594866692	68.3579830418	-0.0000274634	-41.6118306721	26042482.2406391170
30250.1649866692	68.5008947296	-0.0000273927	-41.6109523243	25943364.8191596870
30250.1704866692	68.6432600615	-0.0000273225	-41.6100749920	25843876.8445193430
30250.1759866692	68.7850770427	-0.0000272529	-41.6091986720	25744031.7214573030
30250.1814866692	68.9263437542	-0.0000271839	-41.6083233608	25643843.4329575340
30250.1869866692	69.0670583553	-0.0000271154	-41.6074490551	25543326.4778745290
30250.1924866692	69.2072190870	-0.0000270474	-41.6065757516	25442495.8065703060
30250.1979866691	69.3468242733	-0.0000269799	-41.6057034469	25341366.7544898280
30250.2034866691	69.4858723239	-0.0000269129	-41.6048321377	25239954.9745237420
30250.2089866691	69.6243617355	-0.0000268465	-41.6039618209	25138276.3677476090
30250.2144866691	69.7622910927	-0.0000267806	-41.6030924929	25036347.0133044050
30250.2199866691	69.8996590689	-0.0000267152	-41.6022241508	24934183.0974119310
30250.2254866691	70.0364644268	-0.0000266503	-41.6013567910	24831800.8418788090
30250.2309866691	70.1727060181	-0.0000265859	-41.6004904106	24729216.4323933050
30250.2364866691	70.3083827833	-0.0000265220	-41.5996250061	24626445.9468388930
30250.2419866691	70.4434937508	-0.0000264585	-41.5987605745	24523505.2839155270
30250.2474866691	70.5780380355	-0.0000263956	-41.5978971126	24420410.0922854280
30250.2529866691	70.7120148376	-0.0000263332	-41.5970346171	24317175.7007447410
30250.2584866691	70.8454234402	-0.0000262713	-41.5961730850	24213817.0492242020
30250.2639866691	70.9782632071	-0.0000262098	-41.5953125130	24110348.6214239820
