Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	100.3809520529	-0.0000248628	-15.2071999555	59355007.4172069800
30250.0109866692	100.7072455649	-0.0000247235	-15.2067720629	59305931.1163678540
30250.0164866692	101.0332657407	-0.0000245854	-15.2063449559	59255806.3914269950
30250.0219866692	101.3590068827	-0.0000244486	-15.2059186313	59204654.5342857170
30250.0274866692	101.6844634134	-0.0000243131	-15.2054930857	59152497.7688656230
30250.0329866692	102.0096298806	-0.0000241787	-15.2050683159	59099359.1697934640
30250.0384866692	102.3345009613	-0.0000240457	-15.2046443187	59045262.5783070250
30250.0439866692	102.6590714660	-0.0000239138	-15.2042210909	58990232.5152867960
30250.0494866692	102.9833363419	-0.0000237832	-15.2037986292	58934294.0921093080
30250.0549866692	103.3072906760	-0.0000236537	-15.2033769305	58877472.9193611520
30250.0604866692	103.6309296978	-0.0000235254	-15.2029559916	58819795.0139435460
30250.0659866692	103.9542487805	-0.0000233983	-15.2025358094	58761286.7048349160
30250.0714866692	104.2772434432	-0.0000232723	-15.2021163806	58701974.5378009830
30250.0769866692	104.5999093513	-0.0000231475	-15.2016977023	58641885.1795896520
30250.0824866692	104.9222423169	-0.0000230238	-15.2012797712	58581045.3217502310
30250.0879866692	105.2442382990	-0.0000229013	-15.2008625844	58519481.5845252350
30250.0934866692	105.5658934022	-0.0000227798	-15.2004461386	58457220.4212556410
30250.0989866692	105.8872038759	-0.0000226594	-15.2000304310	58394288.0235077520
30250.1044866692	106.2081661126	-0.0000225401	-15.1996154583	58330710.2273081910
30250.1099866692	106.5287766452	-0.0000224219	-15.1992012176	58266512.4209755880
30250.1154866692	106.8490321447	-0.0000223047	-15.1987877059	58201719.4546282660
30250.1209866692	107.1689294167	-0.0000221886	-15.1983749202	58136355.5519098340
30250.1264866692	107.4884653980	-0.0000220735	-15.1979628575	58070444.2242421280
30250.1319866692	107.8076371517	-0.0000219594	-15.1975515148	58004008.1878325720
30250.1374866692	108.1264418635	-0.0000218464	-15.1971408892	57937069.2837746960
30250.1429866692	108.4448768358	-0.0000217343	-15.1967309778	57869648.4015337150
30250.1484866692	108.7629394828	-0.0000216232	-15.1963217776	57801765.4061839280
30250.1539866692	109.0806273244	-0.0000215131	-15.1959132857	57733439.0695051550
30250.1594866692	109.3979379800	-0.0000214040	-15.1955054992	57664687.0053294380
30250.1649866692	109.7148691620	-0.0000212958	-15.1950984152	57595525.6093337910
30250.1704866692	110.0314186686	-0.0000211886	-15.1946920310	57525970.0034995970
30250.1759866692	110.3475843773	-0.0000210823	-15.1942863436	57456033.9852975760
30250.1814866692	110.6633642368	-0.0000209770	-15.1938813502	57385729.9822175500
30250.1869866692	110.9787562595	-0.0000208725	-15.1934770479	57315069.0111913830
30250.1924866692	111.2937585139	-0.0000207690	-15.1930734341	57244060.6436130930
30250.1979866691	111.6083691163	-0.0000206664	-15.1926705058	57172712.9757032840
30250.2034866691	111.9225862226	-0.0000205646	-15.1922682603	57101032.6045738090
30250.2089866691	112.2364080203	-0.0000204637	-15.1918666949	57029024.6099536420
30250.2144866691	112.5498327195	-0.0000203637	-15.1914658068	56956692.5416550640
30250.2199866691	112.8628585450	-0.0000202646	-15.1910655932	56884038.4127976520
30250.2254866691	113.1754837279	-0.0000201663	-15.1906660515	56811062.6989723440
30250.2309866691	113.4877064965	-0.0000200688	-15.1902671789	56737764.3430750820
30250.2364866691	113.7995250687	-0.0000199722	-15.1898689727	56664140.7660479690
30250.2419866691	114.1109376431	-0.0000198763	-15.1894714303	56590187.8833341970
30250.2474866691	114.4219423911	-0.0000197813	-15.1890745490	56515900.1271418930
30250.2529866691	114.7325374487	-0.0000196871	-15.1886783261	56441270.4740826560
30250.2584866691	115.0427209086	-0.0000195937	-15.1882827590	56366290.4785158410
30250.2639866691	115.3524908127	-0.0000195011	-15.1878878451	56290950.3112353090
30250.2694866691	115.6618451442	-0.0000194093	-15.1874935817	56215238.8034125490
