Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	87.3333689370	-0.0000231231	-32.5316703734	42103784.9783746820
30250.0109866692	87.5645903463	-0.0000230346	-32.5308995393	41996204.4184731100
30250.0164866692	87.7952184278	-0.0000229468	-32.5301298018	41888125.7969586030
30250.0219866692	88.0252505595	-0.0000228597	-32.5293611568	41779585.1987775120
30250.0274866692	88.2546843183	-0.0000227734	-32.5285936002	41670618.9392208380
30250.0329866692	88.4835174815	-0.0000226878	-32.5278271280	41561263.4451990650
30250.0384866692	88.7117480268	-0.0000226029	-32.5270617362	41451555.1356908530
30250.0439866692	88.9393741316	-0.0000225187	-32.5262974207	41341530.3023853300
30250.0494866692	89.1663941723	-0.0000224351	-32.5255341775	41231224.9902255010
30250.0549866692	89.3928067226	-0.0000223523	-32.5247720026	41120674.8792495130
30250.0604866692	89.6186105505	-0.0000222702	-32.5240108922	41009915.1669636820
30250.0659866692	89.8438046161	-0.0000221887	-32.5232508422	40898980.4529074500
30250.0714866692	90.0683880673	-0.0000221079	-32.5224918487	40787904.6249864320
30250.0769866692	90.2923602358	-0.0000220277	-32.5217339078	40676720.7481132820
30250.0824866692	90.5157206323	-0.0000219482	-32.5209770157	40565460.9559946660
30250.0879866692	90.7384689407	-0.0000218693	-32.5202211684	40454156.3459954190
30250.0934866692	90.9606050124	-0.0000217911	-32.5194663622	40342836.8777096720
30250.0989866692	91.1821288597	-0.0000217135	-32.5187125932	40231531.2754432780
30250.1044866692	91.4030406484	-0.0000216366	-32.5179598576	40120266.9351826910
30250.1099866692	91.6233406907	-0.0000215602	-32.5172081516	40009069.8360982240
30250.1154866692	91.8430294364	-0.0000214845	-32.5164574714	39897964.4572750260
30250.1209866692	92.0621074653	-0.0000214094	-32.5157078133	39786973.6996512490
30250.1264866692	92.2805754776	-0.0000213349	-32.5149591736	39676118.8134549410
30250.1319866692	92.4984342848	-0.0000212609	-32.5142115485	39565419.3317870650
30250.1374866692	92.7156848002	-0.0000211876	-32.5134649343	39454893.0101622860
30250.1429866692	92.9323280286	-0.0000211148	-32.5127193274	39344555.7722935160
30250.1484866692	93.1483650567	-0.0000210427	-32.5119747241	39234421.6626082960
30250.1539866692	93.3637970417	-0.0000209711	-32.5112311207	39124502.8053505350
30250.1594866692	93.5786252016	-0.0000209000	-32.5104885136	39014809.3705152120
30250.1649866692	93.7928508037	-0.0000208295	-32.5097468993	38905349.5468769070
30250.1704866692	94.0064751537	-0.0000207596	-32.5090062741	38796129.5219712560
30250.1759866692	94.2194995851	-0.0000206902	-32.5082666344	38687153.4692709220
30250.1814866692	94.4319254477	-0.0000206214	-32.5075279767	38578423.5425420930
30250.1869866692	94.6437540964	-0.0000205531	-32.5067902974	38469939.8774182420
30250.1924866692	94.8549868804	-0.0000204853	-32.5060535930	38361700.6000906080
30250.1979866691	95.0656251323	-0.0000204181	-32.5053178601	38253701.8433710780
30250.2034866691	95.2756701568	-0.0000203513	-32.5045830951	38145937.7694905030
30250.2089866691	95.4851232201	-0.0000202851	-32.5038492945	38038400.6003589480
30250.2144866691	95.6939855398	-0.0000202194	-32.5031164549	37931080.6542675500
30250.2199866691	95.9022582737	-0.0000201542	-32.5023845729	37823966.3897145240
30250.2254866691	96.1099425105	-0.0000200895	-32.5016536450	37717044.4557279420
30250.2309866691	96.3170392597	-0.0000200253	-32.5009236679	37610299.7483589130
30250.2364866691	96.5235494423	-0.0000199615	-32.5001946380	37503715.4737955630
30250.2419866691	96.7294738814	-0.0000198983	-32.4994665522	37397273.2170363960
30250.2474866691	96.9348132940	-0.0000198355	-32.4987394069	37290953.0165686980
30250.2529866691	97.1395682824	-0.0000197732	-32.4980131989	37184733.4442456740
30250.2584866691	97.3437393263	-0.0000197114	-32.4972879248	37078591.6905483680
30250.2639866691	97.5473267762	-0.0000196501	-32.4965635814	36972503.6543149580
30250.2694866691	97.7503308457	-0.0000195892	-32.4958401653	36866444.0374440030
30250.2749866691	97.9527516059	-0.0000195287	-32.4951176732	36760386.4431835560
30250.2804866691	98.1545889791	-0.0000194687	-32.4943961019	36654303.4785937740
30250.2859866691	98.3558427344	-0.0000194092	-32.4936754482	36548166.8602489830
30250.2914866691	98.5565124825	-0.0000193501	-32.4929557088	36441947.5229930360
30250.2969866691	98.7565976720	-0.0000192915	-32.4922368805	36335615.7311808390
30250.3024866691	98.9560975864	-0.0000192333	-32.4915189601	36229141.1922264100
30250.3079866691	99.1550113406	-0.0000191755	-32.4908019444	36122493.1718592270
30250.3134866691	99.3533378798	-0.0000191181	-32.4900858302	36015640.6107829590
30250.3189866691	99.5510759774	-0.0000190612	-32.4893706145	35908552.2421070410
30250.3244866691	99.7482242346	-0.0000190047	-32.4886562939	35801196.7094621960
30250.3299866691	99.9447810801	-0.0000189486	-32.4879428655	35693542.6850334480
30250.3354866691	100.1407447709	-0.0000188929	-32.4872303261	35585558.9871220140
30250.3409866691	100.3361133930	-0.0000188377	-32.4865186727	35477214.6971267910
30250.3464866691	100.5308848637	-0.0000187828	-32.4858079020	35368479.2749458630
30250.3519866691	100.7250569340	-0.0000187284	-32.4850980112	35259322.6730146780
30250.3574866691	100.9186271914	-0.0000186744	-32.4843889970	35149715.4480122850
30250.3629866691	101.1115930636	-0.0000186208	-32.4836808566	35039628.8702482360
30250.3684866691	101.3039518233	-0.0000185675	-32.4829735868	34929035.0299444200
30250.3739866691	101.4957005923	-0.0000185147	-32.4822671846	34817906.9402792380
30250.3794866691	101.6868363474	-0.0000184622	-32.4815616471	34706218.6368818880
30250.3849866691	101.8773559261	-0.0000184102	-32.4808569713	34593945.2730680110
30250.3904866690	102.0672560332	-0.0000183585	-32.4801531542	34481063.2108444350
30250.3959866690	102.2565332477	-0.0000183073	-32.4794501929	34367550.1070918960
30250.4014866690	102.4451840301	-0.0000182564	-32.4787480844	34253384.9947092760
30250.4069866690	102.6332047302	-0.0000182058	-32.4780468258	34138548.3584829490
30250.4124866690	102.8205915955	-0.0000181557	-32.4773464142	34023022.2052845880
30250.4179866690	103.0073407797	-0.0000181060	-32.4766468467	33906790.1283951100
30250.4234866690	103.1934483513	-0.0000180566	-32.4759481204	33789837.3657604530
30250.4289866690	103.3789103035	-0.0000180076	-32.4752502324	33672150.8518022150
30250.4344866690	103.5637225630	-0.0000179589	-32.4745531800	33553719.2629467030
30250.4399866690	103.7478810000	-0.0000179107	-32.4738569602	33434533.0562516380
30250.4454866690	103.9313814384	-0.0000178628	-32.4731615702	33314584.5013430860
30250.4509866690	104.1142196651	-0.0000178152	-32.4724670072	33193867.7054363790
30250.4564866690	104.2963914408	-0.0000177680	-32.4717732684	33072378.6313599650
30250.4619866690	104.4778925103	-0.0000177212	-32.4710803511	32950115.1084214670
30250.4674866690	104.6587186122	-0.0000176748	-32.4703882523	32827076.8361462060
30250.4729866690	104.8388654896	-0.0000176287	-32.4696969695	32703265.3811049610
30250.4784866690	105.0183289004	-0.0000175829	-32.4690064998	32578684.1664043850
30250.4839866690	105.1971046271	-0.0000175375	-32.4683168405	32453338.4543073070
30250.4894866690	105.3751884873	-0.0000174925	-32.4676279888	32327235.3216828850
