Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	11.0173435213	-0.0000793502	-53.5961560519	12272336.2352093700
30250.0109866692	11.0846434027	-0.0000791882	-53.5950976338	12211340.1260232610
30250.0164866692	11.1516058386	-0.0000790276	-53.5940402908	12149739.9051028400
30250.0219866692	11.2182275331	-0.0000788683	-53.5929840195	12087543.8851336760
30250.0274866692	11.2845052391	-0.0000787102	-53.5919288167	12024761.3946559750
30250.0329866692	11.3504357641	-0.0000785535	-53.5908746792	11961402.7345191130
30250.0384866692	11.4160159751	-0.0000783981	-53.5898216036	11897479.1310623010
30250.0439866692	11.4812428041	-0.0000782441	-53.5887695868	11833002.6863986940
30250.0494866692	11.5461132520	-0.0000780913	-53.5877186255	11767986.3255816210
30250.0549866692	11.6106243935	-0.0000779398	-53.5866687165	11702443.7412445860
30250.0604866692	11.6747733808	-0.0000777896	-53.5856198567	11636389.3357584290
30250.0659866692	11.7385574476	-0.0000776407	-53.5845720428	11569838.1609537010
30250.0714866692	11.8019739122	-0.0000774931	-53.5835252718	11502805.8560318630
30250.0769866692	11.8650201806	-0.0000773468	-53.5824795404	11435308.5834697750
30250.0824866692	11.9276937496	-0.0000772018	-53.5814348456	11367362.9634895120
30250.0879866692	11.9899922081	-0.0000770580	-53.5803911842	11298986.0072672940
30250.0934866692	12.0519132401	-0.0000769156	-53.5793485532	11230195.0488877690
30250.0989866692	12.1134546257	-0.0000767744	-53.5783069493	11161007.6766758800
30250.1044866692	12.1746142422	-0.0000766345	-53.5772663696	11091441.6638137250
30250.1099866692	12.2353900653	-0.0000764959	-53.5762268111	11021514.8988851700
30250.1154866692	12.2957801690	-0.0000763585	-53.5751882706	10951245.3161329050
30250.1209866692	12.3557827262	-0.0000762224	-53.5741507451	10880650.8261576840
30250.1264866692	12.4153960078	-0.0000760875	-53.5731142316	10809749.2470282260
30250.1319866692	12.4746183823	-0.0000759539	-53.5720787271	10738558.2360788100
30250.1374866692	12.5334483145	-0.0000758216	-53.5710442286	10667095.2227944900
30250.1429866692	12.5918843643	-0.0000756905	-53.5700107331	10595377.3429087510
30250.1484866692	12.6499251846	-0.0000755606	-53.5689782376	10523421.3740583490
30250.1539866692	12.7075695194	-0.0000754319	-53.5679467393	10451243.6730631610
30250.1594866692	12.7648162008	-0.0000753045	-53.5669162352	10378860.1153025530
30250.1649866692	12.8216641468	-0.0000751783	-53.5658867222	10306286.0361161720
30250.1704866692	12.8781123577	-0.0000750533	-53.5648581976	10233536.1748832500
30250.1759866692	12.9341599127	-0.0000749296	-53.5638306584	10160624.6214461640
30250.1814866692	12.9898059665	-0.0000748070	-53.5628041017	10087564.7655000200
30250.1869866692	13.0450497447	-0.0000746856	-53.5617785247	10014369.2490102800
30250.1924866692	13.0998905401	-0.0000745654	-53.5607539245	9941049.9217355736
30250.1979866691	13.1543277079	-0.0000744465	-53.5597302982	9867617.8001391906
30250.2034866691	13.2083606612	-0.0000743286	-53.5587076430	9794083.0298476219
30250.2089866691	13.2619888658	-0.0000742120	-53.5576859561	9720454.8516229056
30250.2144866691	13.3152118353	-0.0000740965	-53.5566652347	9646741.5712052137
30250.2199866691	13.3680291260	-0.0000739822	-53.5556454759	9572950.5330307484
30250.2254866691	13.4204403314	-0.0000738691	-53.5546266770	9499088.0978419278
30250.2309866691	13.4724450767	-0.0000737570	-53.5536088352	9425159.6244366094
30250.2364866691	13.5240430131	-0.0000736462	-53.5525919477	9351169.4554970581
30250.2419866691	13.5752338126	-0.0000735365	-53.5515760118	9277120.9075889830
30250.2474866691	13.6260171620	-0.0000734279	-53.5505610247	9203016.2653596066
30250.2529866691	13.6763927573	-0.0000733204	-53.5495469838	9128856.7799801882
30250.2584866691	13.7263602980	-0.0000732140	-53.5485338862	9054642.6717708688
30250.2639866691	13.7759194816	-0.0000731088	-53.5475217294	8980373.1371611953
30250.2694866691	13.8250699977	-0.0000730047	-53.5465105105	8906046.3596535288
30250.2749866691	13.8738115229	-0.0000729016	-53.5455002270	8831659.5251430869
30250.2804866691	13.9221437148	-0.0000727997	-53.5444908761	8757208.8411187679
30250.2859866691	13.9700662074	-0.0000726989	-53.5434824552	8682689.5600336026
30250.2914866691	14.0175786052	-0.0000725991	-53.5424749616	8608096.0064981859
30250.2969866691	14.0646804789	-0.0000725004	-53.5414683928	8533421.6083247885
30250.3024866691	14.1113713599	-0.0000724028	-53.5404627461	8458658.9313569069
30250.3079866691	14.1576507363	-0.0000723063	-53.5394580188	8383799.7176341200
30250.3134866691	14.2035180481	-0.0000722108	-53.5384542084	8308834.9272234691
30250.3189866691	14.2489726831	-0.0000721165	-53.5374513123	8233754.7832806641
30250.3244866691	14.2940139732	-0.0000720231	-53.5364493280	8158548.8199922526
30250.3299866691	14.3386411905	-0.0000719308	-53.5354482527	8083205.9336328162
30250.3354866691	14.3828535443	-0.0000718396	-53.5344480841	8007714.4363656593
30250.3409866691	14.4266501777	-0.0000717494	-53.5334488195	7932062.1123722559
30250.3464866691	14.4700301652	-0.0000716603	-53.5324504564	7856236.2763814516
30250.3519866691	14.5129925099	-0.0000715722	-53.5314529924	7780223.8343510982
30250.3574866691	14.5555361421	-0.0000714851	-53.5304564248	7704011.3459864119
30250.3629866691	14.5976599170	-0.0000713991	-53.5294607511	7627585.0885943715
30250.3684866691	14.6393626136	-0.0000713141	-53.5284659690	7550931.1227332763
30250.3739866691	14.6806429338	-0.0000712301	-53.5274720759	7474035.3587145777
30250.3794866691	14.7214995017	-0.0000711471	-53.5264790693	7396883.6240099659
30250.3849866691	14.7619308634	-0.0000710652	-53.5254869469	7319461.7313811313
30250.3904866690	14.8019354869	-0.0000709843	-53.5244957060	7241755.5472961627
30250.3959866690	14.8415117631	-0.0000709045	-53.5235053444	7163751.0603463361
30250.4014866690	14.8806580063	-0.0000708256	-53.5225158595	7085434.4497349849
30250.4069866690	14.9193724556	-0.0000707478	-53.5215272490	7006792.1531302650
30250.4124866690	14.9576532766	-0.0000706710	-53.5205395105	6927810.9339662483
30250.4179866690	14.9954985632	-0.0000705952	-53.5195526415	6848477.9478002619
30250.4234866690	15.0329063403	-0.0000705204	-53.5185666397	6768780.8073869534
30250.4289866690	15.0698745662	-0.0000704466	-53.5175815026	6688707.6465064995
30250.4344866690	15.1064011358	-0.0000703739	-53.5165972281	6608247.1819208255
30250.4399866690	15.1424838841	-0.0000703022	-53.5156138136	6527388.7735325024
30250.4454866690	15.1781205897	-0.0000702315	-53.5146312568	6446122.4823841872
30250.4509866690	15.2133089792	-0.0000701618	-53.5136495554	6364439.1262706006
30250.4564866690	15.2480467311	-0.0000700931	-53.5126687071	6282330.3328823280
30250.4619866690	15.2823314807	-0.0000700254	-53.5116887096	6199788.5899803061
30250.4674866690	15.3161608249	-0.0000699588	-53.5107095605	6116807.2927781632
30250.4729866690	15.3495323273	-0.0000698932	-53.5097312576	6033380.7880716827
