Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-88.1459361614	-0.0498135424	-90.5327528803	1315483.8201009037
30250.0109866692	-88.1387160331	-0.0496038177	-90.5309955077	1310855.7150739867
30250.0164866692	-88.1315214185	-0.0493963152	-90.5292399711	1306209.8784834084
30250.0219866692	-88.1243524038	-0.0491910103	-90.5274862647	1301549.8595089687
30250.0274866692	-88.1172090550	-0.0489878782	-90.5257343827	1296879.2888725111
30250.0329866692	-88.1100914184	-0.0487868937	-90.5239843193	1292201.8672809836
30250.0384866692	-88.1029995192	-0.0485880311	-90.5222360686	1287521.3535771489
30250.0439866692	-88.0959333623	-0.0483912645	-90.5204896251	1282841.5526320012
30250.0494866692	-88.0888929312	-0.0481965677	-90.5187449830	1278166.3030184084
30250.0549866692	-88.0818781883	-0.0480039140	-90.5170021365	1273499.4645252232
30250.0604866692	-88.0748890749	-0.0478132766	-90.5152610801	1268844.9055518417
30250.0659866692	-88.0679255108	-0.0476246281	-90.5135218080	1264206.4904049728
30250.0714866692	-88.0609873947	-0.0474379410	-90.5117843148	1259588.0665949758
30250.0769866692	-88.0540746042	-0.0472531875	-90.5100485947	1254993.4521177851
30250.0824866692	-88.0471869961	-0.0470703396	-90.5083146423	1250426.4228233630
30250.0879866692	-88.0403244066	-0.0468893689	-90.5065824521	1245890.6998783285
30250.0934866692	-88.0334866515	-0.0467102469	-90.5048520184	1241389.9373919410
30250.0989866692	-88.0266735269	-0.0465329449	-90.5031233359	1236927.7102273691
30250.1044866692	-88.0198848096	-0.0463574340	-90.5013963991	1232507.5020686039
30250.1099866692	-88.0131202573	-0.0461836852	-90.4996712025	1228132.6937762890
30250.1154866692	-88.0063796097	-0.0460116694	-90.4979477407	1223806.5520549731
30250.1209866692	-87.9996625889	-0.0458413573	-90.4962260085	1219532.2185193058
30250.1264866692	-87.9929689001	-0.0456727197	-90.4945060003	1215312.6991400039
30250.1319866692	-87.9862982324	-0.0455057272	-90.4927877109	1211150.8541631694
30250.1374866692	-87.9796502598	-0.0453403507	-90.4910711350	1207049.3885073287
30250.1429866692	-87.9730246419	-0.0451765607	-90.4893562673	1203010.8426763862
