Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	52.4151653451	-0.0000351133	-44.8172279816	23824227.1287880170
30250.0109866692	52.5459223440	-0.0000350200	-44.8162773680	23739192.2096515110
30250.0164866692	52.6762108310	-0.0000349273	-44.8153278638	23653906.2063388750
30250.0219866692	52.8060294534	-0.0000348353	-44.8143794652	23568377.8562657910
30250.0274866692	52.9353769076	-0.0000347440	-44.8134321686	23482616.2214486710
30250.0329866692	53.0642519409	-0.0000346535	-44.8124859703	23396630.6435247030
30250.0384866692	53.1926533524	-0.0000345636	-44.8115408667	23310430.6980542990
30250.0439866692	53.3205799950	-0.0000344744	-44.8105968540	23224026.1472906060
30250.0494866692	53.4480307753	-0.0000343858	-44.8096539286	23137426.8923324230
30250.0549866692	53.5750046550	-0.0000342980	-44.8087120870	23050642.9245727250
30250.0604866692	53.7015006506	-0.0000342108	-44.8077713255	22963684.2765122390
30250.0659866692	53.8275178342	-0.0000341242	-44.8068316405	22876560.9724242050
30250.0714866692	53.9530553324	-0.0000340384	-44.8058930286	22789282.9787367320
30250.0769866692	54.0781123266	-0.0000339531	-44.8049554860	22701860.1546810420
30250.0824866692	54.2026880519	-0.0000338686	-44.8040190094	22614302.2029464170
30250.0879866692	54.3267817960	-0.0000337846	-44.8030835952	22526618.6209483260
30250.0934866692	54.4503928981	-0.0000337013	-44.8021492399	22438818.6527992040
30250.0989866692	54.5735207472	-0.0000336187	-44.8012159401	22350911.2418762410
30250.1044866692	54.6961647807	-0.0000335366	-44.8002836922	22262904.9846256150
30250.1099866692	54.8183244816	-0.0000334552	-44.7993524927	22174808.0853400010
30250.1154866692	54.9399993769	-0.0000333744	-44.7984223384	22086628.3124073190
30250.1209866692	55.0611890346	-0.0000332942	-44.7974932257	21998372.9562409520
30250.1264866692	55.1818930614	-0.0000332147	-44.7965651513	21910048.7885797580
30250.1319866692	55.3021110992	-0.0000331357	-44.7956381118	21821662.0238113850
30250.1374866692	55.4218428223	-0.0000330574	-44.7947121037	21733218.2823845220
30250.1429866692	55.5410879338	-0.0000329796	-44.7937871238	21644722.5562027280
30250.1484866692	55.6598461621	-0.0000329024	-44.7928631688	21556179.1764333550
30250.1539866692	55.7781172573	-0.0000328258	-44.7919402352	21467591.7835810220
30250.1594866692	55.8959009872	-0.0000327498	-44.7910183198	21378963.3002359940
30250.1649866692	56.0131971332	-0.0000326744	-44.7900974192	21290295.9064070400
30250.1704866692	56.1300054862	-0.0000325996	-44.7891775303	21201591.0175600650
30250.1759866692	56.2463258424	-0.0000325253	-44.7882586498	21112849.2655224610
30250.1814866692	56.3621579989	-0.0000324516	-44.7873407743	21024070.4822215770
30250.1869866692	56.4775017492	-0.0000323784	-44.7864239007	20935253.6865759940
30250.1924866692	56.5923568786	-0.0000323058	-44.7855080258	20846397.0741797610
30250.1979866691	56.7067231601	-0.0000322338	-44.7845931463	20757498.0103161930
30250.2034866691	56.8206003492	-0.0000321623	-44.7836792591	20668553.0257985410
30250.2089866691	56.9339881797	-0.0000320913	-44.7827663610	20579557.8161381630
30250.2144866691	57.0468863591	-0.0000320209	-44.7818544488	20490507.2438789680
30250.2199866691	57.1592945639	-0.0000319510	-44.7809435194	20401395.3440384980
30250.2254866691	57.2712124351	-0.0000318817	-44.7800335697	20312215.3325245380
30250.2309866691	57.3826395737	-0.0000318129	-44.7791245965	20222959.6179211440
30250.2364866691	57.4935755364	-0.0000317446	-44.7782165967	20133619.8162309010
30250.2419866691	57.6040198315	-0.0000316769	-44.7773095674	20044186.7685417980
30250.2474866691	57.7139719141	-0.0000316096	-44.7764035053	19954650.5619226550
30250.2529866691	57.8234311825	-0.0000315429	-44.7754984074	19865000.5529185240
30250.2584866691	57.9323969744	-0.0000314767	-44.7745942707	19775225.3940871620
30250.2639866691	58.0408685625	-0.0000314110	-44.7736910922	19685313.0632430170
30250.2694866691	58.1488451516	-0.0000313458	-44.7727888688	19595250.8952353000
30250.2749866691	58.2563258747	-0.0000312811	-44.7718875975	19505025.6162695360
30250.2804866691	58.3633097899	-0.0000312169	-44.7709872754	19414623.3807986380
30250.2859866691	58.4697958774	-0.0000311532	-44.7700878994	19324029.8104847820
30250.2914866691	58.5757830369	-0.0000310900	-44.7691894667	19233230.0353731510
30250.2969866691	58.6812700845	-0.0000310273	-44.7682919742	19142208.7370670180
30250.3024866691	58.7862557509	-0.0000309651	-44.7673954190	19050950.1937776580
30250.3079866691	58.8907386793	-0.0000309033	-44.7664997983	18959438.3269521070
30250.3134866691	58.9947174232	-0.0000308421	-44.7656051090	18867656.7495571710
30250.3189866691	59.0981904451	-0.0000307813	-44.7647113483	18775588.8156975840
30250.3244866691	59.2011561155	-0.0000307210	-44.7638185134	18683217.6711198170
30250.3299866691	59.3036127115	-0.0000306612	-44.7629266013	18590526.3052421580
30250.3354866691	59.4055584162	-0.0000306018	-44.7620356091	18497497.6034285690
30250.3409866691	59.5069913185	-0.0000305430	-44.7611455342	18404114.4003038780
30250.3464866691	59.6079094129	-0.0000304845	-44.7602563735	18310359.5332932660
30250.3519866691	59.7083105996	-0.0000304266	-44.7593681244	18216215.8962997870
30250.3574866691	59.8081926850	-0.0000303691	-44.7584807839	18121666.4938237110
30250.3629866691	59.9075533828	-0.0000303121	-44.7575943494	18026694.4944249950
30250.3684866691	60.0063903143	-0.0000302556	-44.7567088179	17931283.2842231800
30250.3739866691	60.1047010109	-0.0000301995	-44.7558241869	17835416.5197470490
30250.3794866691	60.2024829146	-0.0000301439	-44.7549404534	17739078.1799915690
30250.3849866691	60.2997333809	-0.0000300887	-44.7540576148	17642252.6176542600
30250.3904866690	60.3964496802	-0.0000300340	-44.7531756683	17544924.6093341890
30250.3959866690	60.4926290011	-0.0000299797	-44.7522946112	17447079.4042363650
30250.4014866690	60.5882684523	-0.0000299259	-44.7514144409	17348702.7717228790
30250.4069866690	60.6833650665	-0.0000298725	-44.7505351545	17249781.0470707120
30250.4124866690	60.7779158028	-0.0000298196	-44.7496567495	17150301.1753988530
30250.4179866690	60.8719175510	-0.0000297672	-44.7487792232	17050250.7538844200
30250.4234866690	60.9653671344	-0.0000297152	-44.7479025728	16949618.0716878880
30250.4289866690	61.0582613148	-0.0000296636	-44.7470267959	16848392.1477022430
30250.4344866690	61.1505967957	-0.0000296125	-44.7461518896	16746562.7660576120
30250.4399866690	61.2423702272	-0.0000295618	-44.7452778515	16644120.5088649080
30250.4454866690	61.3335782101	-0.0000295116	-44.7444046789	16541056.7866835330
30250.4509866690	61.4242173009	-0.0000294618	-44.7435323691	16437363.8660232290
30250.4564866690	61.5142840163	-0.0000294124	-44.7426609197	16333034.8941594120
30250.4619866690	61.6037748382	-0.0000293635	-44.7417903280	16228063.9210026150
30250.4674866690	61.6926862190	-0.0000293150	-44.7409205915	16122445.9180181680
30250.4729866690	61.7810145862	-0.0000292670	-44.7400517077	16016176.7940235830
30250.4784866690	61.8687563481	-0.0000292194	-44.7391836739	15909253.4080542140
30250.4839866690	61.9559078987	-0.0000291723	-44.7383164876	15801673.5789419770
30250.4894866690	62.0424656231	-0.0000291256	-44.7374501464	15693436.0917009300
