Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-109.6661005671	-7.2903523775	-109.6661005671	368464.7829325737
30250.0109866692	-109.6640768521	-7.2903187874	-109.6640768521	367589.9369037906
30250.0164866692	-109.6620579630	-7.2902060504	-109.6620579630	366710.7010244409
30250.0219866692	-109.6600439239	-7.2900141679	-109.6600439239	365827.0857945659
30250.0274866692	-109.6580347590	-7.2897431423	-109.6580347590	364939.1017661599
30250.0329866692	-109.6560304921	-7.2893929767	-109.6560304921	364046.7595436818
30250.0384866692	-109.6540311472	-7.2889636754	-109.6540311472	363150.0697838002
30250.0439866692	-109.6520367483	-7.2884552435	-109.6520367483	362249.0431948753
30250.0494866692	-109.6500473190	-7.2878676869	-109.6500473190	361343.6905373714
30250.0549866692	-109.6480628832	-7.2872010129	-109.6480628832	360434.0226229301
30250.0604866692	-109.6460834646	-7.2864552293	-109.6460834646	359520.0503152418
30250.0659866692	-109.6441090868	-7.2856303450	-109.6441090868	358601.7845291758
30250.0714866692	-109.6421397734	-7.2847263699	-109.6421397734	357679.2362306698
30250.0769866692	-109.6401755478	-7.2837433147	-109.6401755478	356752.4164369908
30250.0824866692	-109.6382164337	-7.2826811913	-109.6382164337	355821.3362164801
30250.0879866692	-109.6362624543	-7.2815400123	-109.6362624543	354886.0066881320
30250.0934866692	-109.6343136330	-7.2803197914	-109.6343136330	353946.4390221171
30250.0989866692	-109.6323699930	-7.2790205430	-109.6323699930	353002.6444389545
30250.1044866692	-109.6304315576	-7.2776422828	-109.6304315576	352054.6342094557
30250.1099866692	-109.6284983500	-7.2761850271	-109.6284983500	351102.4196550401
30250.1154866692	-109.6265703931	-7.2746487934	-109.6265703931	350146.0121471101
30250.1209866692	-109.6246477101	-7.2730336001	-109.6246477101	349185.4231076760
30250.1264866692	-109.6227303239	-7.2713394664	-109.6227303239	348220.6640079552
30250.1319866692	-109.6208182574	-7.2695664125	-109.6208182574	347251.7463691507
30250.1374866692	-109.6189115334	-7.2677144597	-109.6189115334	346278.6817628128
30250.1429866692	-109.6170101748	-7.2657836300	-109.6170101748	345301.4818090810
30250.1484866692	-109.6151142041	-7.2637739465	-109.6151142041	344320.1581780798
30250.1539866692	-109.6132236441	-7.2616854333	-109.6132236441	343334.7225887805
30250.1594866692	-109.6113385173	-7.2595181152	-109.6113385173	342345.1868095705
30250.1649866692	-109.6094588462	-7.2572720181	-109.6094588462	341351.5626574777
30250.1704866692	-109.6075846533	-7.2549471689	-109.6075846533	340353.8619989982
30250.1759866692	-109.6057159610	-7.2525435953	-109.6057159610	339352.0967486482
30250.1814866692	-109.6038527916	-7.2500613260	-109.6038527916	338346.2788695847
30250.1869866692	-109.6019951673	-7.2475003907	-109.6019951673	337336.4203735008
30250.1924866692	-109.6001431104	-7.2448608200	-109.6001431104	336322.5333208351
30250.1979866691	-109.5982966428	-7.2421426453	-109.5982966428	335304.6298190617
30250.2034866691	-109.5964557868	-7.2393458992	-109.5964557868	334282.7220245049
30250.2089866691	-109.5946205642	-7.2364706150	-109.5946205642	333256.8221407287
30250.2144866691	-109.5927909971	-7.2335168271	-109.5927909971	332226.9424195277
30250.2199866691	-109.5909671071	-7.2304845708	-109.5909671071	331193.0951598877
30250.2254866691	-109.5891489162	-7.2273738822	-109.5891489162	330155.2927080919
30250.2309866691	-109.5873364460	-7.2241847985	-109.5873364460	329113.5474577698
30250.2364866691	-109.5855297182	-7.2209173579	-109.5855297182	328067.8718498995
30250.2419866691	-109.5837287544	-7.2175715992	-109.5837287544	327018.2783719795
30250.2474866691	-109.5819335760	-7.2141475626	-109.5819335760	325964.7795585459
30250.2529866691	-109.5801442045	-7.2106452888	-109.5801442045	324907.3879908089
30250.2584866691	-109.5783606613	-7.2070648197	-109.5783606613	323846.1162962413
30250.2639866691	-109.5765829676	-7.2034061981	-109.5765829676	322780.9771485797
30250.2694866691	-109.5748111448	-7.1996694676	-109.5748111448	321711.9832680789
30250.2749866691	-109.5730452139	-7.1958546729	-109.5730452139	320639.1474208951
30250.2804866691	-109.5712851961	-7.1919618595	-109.5712851961	319562.4824192374
30250.2859866691	-109.5695311123	-7.1879910739	-109.5695311123	318482.0011206477
30250.2914866691	-109.5677829835	-7.1839423636	-109.5677829835	317397.7164287225
30250.2969866691	-109.5660408306	-7.1798157769	-109.5660408306	316309.6412919232
30250.3024866691	-109.5643046745	-7.1756113631	-109.5643046745	315217.7887042505
30250.3079866691	-109.5625745357	-7.1713291723	-109.5625745357	314122.1717051383
30250.3134866691	-109.5608504351	-7.1669692558	-109.5608504351	313022.8033783702
30250.3189866691	-109.5591323931	-7.1625316656	-109.5591323931	311919.6968529566
30250.3244866691	-109.5574204303	-7.1580164546	-109.5574204303	310812.8653025678
30250.3299866691	-109.5557145672	-7.1534236769	-109.5557145672	309702.3219449107
30250.3354866691	-109.5540148240	-7.1487533872	-109.5540148240	308588.0800424580
30250.3409866691	-109.5523212212	-7.1440056414	-109.5523212212	307470.1529017180
30250.3464866691	-109.5506337790	-7.1391804961	-109.5506337790	306348.5538733394
30250.3519866691	-109.5489525174	-7.1342780089	-109.5489525174	305223.2963517023
30250.3574866691	-109.5472774566	-7.1292982385	-109.5472774566	304094.3937746534
30250.3629866691	-109.5456086165	-7.1242412442	-109.5456086165	302961.8596238736
30250.3684866691	-109.5439460172	-7.1191070865	-109.5439460172	301825.7074243576
30250.3739866691	-109.5422896784	-7.1138958267	-109.5422896784	300685.9507441041
30250.3794866691	-109.5406396200	-7.1086075270	-109.5406396200	299542.6031947873
30250.3849866691	-109.5389958616	-7.1032422506	-109.5389958616	298395.6784301033
30250.3904866690	-109.5373584229	-7.0978000615	-109.5373584229	297245.1901469608
30250.3959866690	-109.5357273234	-7.0922810248	-109.5357273234	296091.1520848053
30250.4014866690	-109.5341025826	-7.0866852063	-109.5341025826	294933.5780253118
30250.4069866690	-109.5324842199	-7.0810126729	-109.5324842199	293772.4817922303
30250.4124866690	-109.5308722547	-7.0752634923	-109.5308722547	292607.8772520022
30250.4179866690	-109.5292667061	-7.0694377332	-109.5292667061	291439.7783129358
30250.4234866690	-109.5276675935	-7.0635354651	-109.5276675935	290268.1989237604
30250.4289866690	-109.5260749357	-7.0575567585	-109.5260749357	289093.1530762088
30250.4344866690	-109.5244887520	-7.0515016850	-109.5244887520	287914.6548030509
30250.4399866690	-109.5229090612	-7.0453703166	-109.5229090612	286732.7181778914
30250.4454866690	-109.5213358821	-7.0391627267	-109.5213358821	285547.3573157863
30250.4509866690	-109.5197692336	-7.0328789895	-109.5197692336	284358.5863728325
30250.4564866690	-109.5182091345	-7.0265191798	-109.5182091345	283166.4195453374
30250.4619866690	-109.5166556032	-7.0200833738	-109.5166556032	281970.8710700299
30250.4674866690	-109.5151086584	-7.0135716483	-109.5151086584	280771.9552247783
30250.4729866690	-109.5135683185	-7.0069840809	-109.5135683185	279569.6863270443
30250.4784866690	-109.5120346020	-7.0003207505	-109.5120346020	278364.0787352251
30250.4839866690	-109.5105075271	-6.9935817365	-109.5105075271	277155.1468464820
