Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-57.3285088465	-0.0017229668	-71.0376694554	2694031.2712862478
30250.0109866692	-57.3137556656	-0.0017196421	-71.0363552593	2674334.8495133766
30250.0164866692	-57.2991109710	-0.0017163536	-71.0350422538	2654591.2888698382
30250.0219866692	-57.2845750017	-0.0017131008	-71.0337304355	2634806.8035263172
30250.0274866692	-57.2701479629	-0.0017098837	-71.0324198010	2614987.4944484392
30250.0329866692	-57.2558300267	-0.0017067020	-71.0311103471	2595139.3325517443
30250.0384866692	-57.2416213328	-0.0017035555	-71.0298020705	2575268.1423708857
30250.0439866692	-57.2275219894	-0.0017004439	-71.0284949677	2555379.5863707284
30250.0494866692	-57.2135320740	-0.0016973671	-71.0271890356	2535479.1499233427
30250.0549866692	-57.1996516347	-0.0016943248	-71.0258842709	2515572.1269774958
30250.0604866692	-57.1858806912	-0.0016913168	-71.0245806702	2495663.6065287720
30250.0659866692	-57.1722192356	-0.0016883428	-71.0232782305	2475758.4599064458
30250.0714866692	-57.1586672343	-0.0016854026	-71.0219769483	2455861.3288724557
30250.0769866692	-57.1452246288	-0.0016824960	-71.0206768205	2435976.6146829049
30250.0824866692	-57.1318913371	-0.0016796226	-71.0193778439	2416108.4680759721
30250.0879866692	-57.1186672554	-0.0016767824	-71.0180800153	2396260.7801959347
30250.0934866692	-57.1055522592	-0.0016739749	-71.0167833315	2376437.1745520695
30250.0989866692	-57.0925462052	-0.0016712000	-71.0154877894	2356641.0000483990
30250.1044866692	-57.0796489323	-0.0016684574	-71.0141933858	2336875.3249823842
30250.1099866692	-57.0668602636	-0.0016657468	-71.0129001176	2317142.9321731390
30250.1154866692	-57.0541800079	-0.0016630681	-71.0116079816	2297446.3152139722
30250.1209866692	-57.0416079610	-0.0016604209	-71.0103169747	2277787.6757154423
30250.1264866692	-57.0291439078	-0.0016578050	-71.0090270939	2258168.9217670816
30250.1319866692	-57.0167876235	-0.0016552201	-71.0077383360	2238591.6674656952
30250.1374866692	-57.0045388755	-0.0016526661	-71.0064506980	2219057.2335404418
30250.1429866692	-56.9923974247	-0.0016501426	-71.0051641769	2199566.6491106604
30250.1484866692	-56.9803630275	-0.0016476495	-71.0038787695	2180120.6545025371
30250.1539866692	-56.9684354370	-0.0016451864	-71.0025944729	2160719.7051991243
30250.1594866692	-56.9566144048	-0.0016427532	-71.0013112840	2141363.9768236144
30250.1649866692	-56.9448996823	-0.0016403496	-71.0000291998	2122053.3711390402
30250.1704866692	-56.9332910225	-0.0016379753	-70.9987482173	2102787.5231322618
30250.1759866692	-56.9217881811	-0.0016356302	-70.9974683336	2083565.8090305747
30250.1814866692	-56.9103909181	-0.0016333140	-70.9961895457	2064387.3552947107
30250.1869866692	-56.8990989990	-0.0016310266	-70.9949118506	2045251.0485269330
30250.1924866692	-56.8879121964	-0.0016287676	-70.9936352454	2026155.5462928021
30250.1979866691	-56.8768302907	-0.0016265369	-70.9923597272	2007099.2887164718
