Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	96.0797324369	-0.0000223036	-25.9710596706	50311939.7848509770
30250.0109866692	96.3562008647	-0.0000222033	-25.9704047117	50235758.9719855260
30250.0164866692	96.6322477223	-0.0000221038	-25.9697507822	50158781.7516075370
30250.0219866692	96.9078685381	-0.0000220052	-25.9690978781	50080980.1087241690
30250.0274866692	97.1830586886	-0.0000219073	-25.9684459952	50002326.7221435760
30250.0329866692	97.4578134027	-0.0000218103	-25.9677951297	49922795.0794417340
30250.0384866692	97.7321277664	-0.0000217141	-25.9671452775	49842359.5892637740
30250.0439866692	98.0059967282	-0.0000216186	-25.9664964347	49760995.6900778260
30250.0494866692	98.2794151053	-0.0000215240	-25.9658485974	49678679.9553369510
30250.0549866692	98.5523775897	-0.0000214301	-25.9652017616	49595390.1944843680
30250.0604866692	98.8248787560	-0.0000213369	-25.9645559235	49511105.5494304370
30250.0659866692	99.0969130685	-0.0000212446	-25.9639110792	49425806.5860725640
30250.0714866692	99.3684748895	-0.0000211530	-25.9632672248	49339475.3808862420
30250.0769866692	99.6395584880	-0.0000210621	-25.9626243566	49252095.6017918880
30250.0824866692	99.9101580482	-0.0000209720	-25.9619824706	49163652.5830938290
30250.0879866692	100.1802676796	-0.0000208827	-25.9613415630	49074133.3945127200
30250.0934866692	100.4498814262	-0.0000207940	-25.9607016302	48983526.9036616830
30250.0989866692	100.7189932770	-0.0000207061	-25.9600626683	48891823.8320810050
30250.1044866692	100.9875971758	-0.0000206189	-25.9594246737	48799016.8042948770
30250.1099866692	101.2556870325	-0.0000205325	-25.9587876425	48705100.3899428100
30250.1154866692	101.5232567333	-0.0000204467	-25.9581515710	48610071.1386657950
30250.1209866692	101.7903001519	-0.0000203617	-25.9575164557	48513927.6078388690
30250.1264866692	102.0568111609	-0.0000202773	-25.9568822928	48416670.3826460690
30250.1319866692	102.3227836426	-0.0000201936	-25.9562490786	48318302.0889275000
30250.1374866692	102.5882115004	-0.0000201106	-25.9556168096	48218827.3982510940
30250.1429866692	102.8530886699	-0.0000200283	-25.9549854820	48118253.0256214960
30250.1484866692	103.1174091306	-0.0000199467	-25.9543550924	48016587.7194603910
30250.1539866692	103.3811669163	-0.0000198658	-25.9537256372	47913842.2441673650
30250.1594866692	103.6443561267	-0.0000197855	-25.9530971127	47810029.3551240190
30250.1649866692	103.9069709380	-0.0000197058	-25.9524695155	47705163.7663208250
30250.1704866692	104.1690056136	-0.0000196269	-25.9518428420	47599262.1108412740
30250.1759866692	104.4304545143	-0.0000195485	-25.9512170887	47492342.8940869270
30250.1814866692	104.6913121090	-0.0000194709	-25.9505922520	47384426.4400641990
30250.1869866692	104.9515729837	-0.0000193938	-25.9499683287	47275534.8309727240
30250.1924866692	105.2112318517	-0.0000193174	-25.9493453151	47165691.8401231990
30250.1979866691	105.4702835622	-0.0000192416	-25.9487232078	47054922.8586389350
30250.2034866691	105.7287231090	-0.0000191665	-25.9481020035	46943254.8162414510
30250.2089866691	105.9865456390	-0.0000190919	-25.9474816986	46830716.0960512980
30250.2144866691	106.2437464596	-0.0000190180	-25.9468622899	46717336.4440654890
30250.2199866691	106.5003210459	-0.0000189447	-25.9462437740	46603146.8735883980
30250.2254866691	106.7562650473	-0.0000188719	-25.9456261474	46488179.5647410600
30250.2309866691	107.0115742940	-0.0000187998	-25.9450094068	46372467.7598317490
30250.2364866691	107.2662448019	-0.0000187283	-25.9443935490	46256045.6544622850
30250.2419866691	107.5202727780	-0.0000186573	-25.9437785706	46138948.2851909030
30250.2474866691	107.7736546241	-0.0000185870	-25.9431644683	46021211.4138720630
30250.2529866691	108.0263869410	-0.0000185172	-25.9425512389	45902871.4093611090
30250.2584866691	108.2784665311	-0.0000184480	-25.9419388790	45783965.1268383860
30250.2639866691	108.5298904006	-0.0000183793	-25.9413273855	45664529.7851555790
30250.2694866691	108.7806557614	-0.0000183112	-25.9407167551	45544602.8427453040
30250.2749866691	109.0307600318	-0.0000182437	-25.9401069846	45424221.8726489020
30250.2804866691	109.2802008367	-0.0000181767	-25.9394980709	45303424.4368483500
30250.2859866691	109.5289760073	-0.0000181103	-25.9388900106	45182247.9608197660
30250.2914866691	109.7770835797	-0.0000180444	-25.9382828007	45060729.6078625470
30250.2969866691	110.0245217935	-0.0000179790	-25.9376764380	44938906.1551121470
30250.3024866691	110.2712890886	-0.0000179142	-25.9370709194	44816813.8701444270
30250.3079866691	110.5173841026	-0.0000178499	-25.9364662418	44694488.3895694020
30250.3134866691	110.7628056667	-0.0000177861	-25.9358624020	44571964.5999863590
30250.3189866691	111.0075528012	-0.0000177228	-25.9352593970	44449276.5214257910
30250.3244866691	111.2516247102	-0.0000176601	-25.9346572236	44326457.1937061320
30250.3299866691	111.4950207763	-0.0000175978	-25.9340558789	44203538.5665044860
30250.3354866691	111.7377405539	-0.0000175360	-25.9334553598	44080551.3932664390
30250.3409866691	111.9797837622	-0.0000174748	-25.9328556632	43957525.1293044090
30250.3464866691	112.2211502780	-0.0000174140	-25.9322567862	43834487.8345499410
30250.3519866691	112.4618401279	-0.0000173537	-25.9316587257	43711466.0812567320
30250.3574866691	112.7018534791	-0.0000172939	-25.9310614788	43588484.8672496830
30250.3629866691	112.9411906313	-0.0000172346	-25.9304650424	43465567.5345284190
30250.3684866691	113.1798520068	-0.0000171758	-25.9298694137	43342735.6941116230
